Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Mitaabik dazhwegisidoon ji-baateg.,Spread it there on the rock to dry.,"""<dazhwegisidoon>""
	""dazhwegisidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""dazhwegisidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ji-baateg>""
	""baate"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""baate"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""baate"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""baate"" PVTense/ga VII Cnj Pos Neu 0PlSubj","""<mitaabik>""
	""mitaabik"" ADVLoc
""<dazhwegisidoon>""
	""dazhwegisidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""dazhwegisidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ji-baateg>""
	""baate"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""baate"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""baate"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""baate"" PVTense/ga VII Cnj Pos Neu 0PlSubj
""<.>""
","""<mitaabik>""
	""mitaabik"" ADVLoc
""<dazhwegisidoon>""
	""dazhwegisidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""dazhwegisidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ji-baateg>""
	""baate"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""baate"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""baate"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""baate"" PVTense/ga VII Cnj Pos Neu 0PlSubj
""<.>""
",
Ogii-nookwezwaan a'aw mindimooyenh ini gaa-...  maanamanji'onid.,The old lady smudged that person who was feeling ill.,"""<ogii-nookwezwaan>""
	""nookwez"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nookwezwi"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nookwez"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""nookwezwi"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<maanamanji'onid>""
	""maanamanji'o"" VAI Cnj Pos Neu 3PlObvSubj
	""maanamanji'o"" VAI Cnj Pos Neu 3SgObvSubj","""<ogii-nookwezwaan>""
	""nookwez"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nookwezwi"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nookwez"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""nookwezwi"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<a'aw>""
	""a'aw"" PRONDem
""<mindimooyenh>""
	""mindimooyenh"" NA ProxSg
""<ini>""

""<gaa-..>""

""<.>""

""<maanamanji'onid>""
	""maanamanji'o"" VAI Cnj Pos Neu 3PlObvSubj
	""maanamanji'o"" VAI Cnj Pos Neu 3SgObvSubj
""<.>""
","""<ogii-nookwezwaan>""
	""nookwez"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nookwezwi"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""nookwez"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""nookwezwi"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<a'aw>""
	""a'aw"" PRONDem
""<mindimooyenh>""
	""mindimooyenh"" NA ProxSg
""<ini>""

""<gaa-..>""

""<.>""

""<maanamanji'onid>""
	""maanamanji'o"" VAI Cnj Pos Neu 3PlObvSubj
	""maanamanji'o"" VAI Cnj Pos Neu 3SgObvSubj
""<.>""
",
Onzaam niibowa oginigawinaan 'i wiisagad imaa g... iwe gii-naboobiiked.,She put in too much pepper when she made soup.,"""<oginigawinaan>""
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""ginigawinan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj","""<onzaam>""
	""onzaam"" ADVQnt
""<niibowa>""
	""niibowa"" ADVQnt
""<oginigawinaan>""
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""ginigawinan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'i>""

""<wiisagad>""
	""wiisagad"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<g..>""

""<.>""

""<iwe>""

""<gii-naboobiiked>""
	""naboobiike"" PVTense/gii VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<onzaam>""
	""onzaam"" ADVQnt
""<niibowa>""
	""niibowa"" ADVQnt
""<oginigawinaan>""
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ginigawin"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""ginigawinan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'i>""

""<wiisagad>""
	""wiisagad"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<g..>""

""<.>""

""<iwe>""

""<gii-naboobiiked>""
	""naboobiike"" PVTense/gii VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Ningii-wanitoon niwaazakonebijigan wii-aabajitooyaan wii-waaswaayaan.,I've lost the flashlight I wanted to use torching.,"""<wii-aabajitooyaan>""
	""aabajitoon"" PVTense/wii VTI Cnj Pos Neu 1SgSubj 0PlObj
	""aabajitoon"" PVTense/wii VTI Cnj Pos Neu 1SgSubj 0SgObj","""<ningii-wanitoon>""
	""wanitoon"" PVTense/gii VTI Ind Pos Neu 1SgSubj 0SgObj
""<niwaazakonebijigan>""
	""waazakonebijigan"" NI Sg 1SgPoss
""<wii-aabajitooyaan>""
	""aabajitoon"" PVTense/wii VTI Cnj Pos Neu 1SgSubj 0PlObj
	""aabajitoon"" PVTense/wii VTI Cnj Pos Neu 1SgSubj 0SgObj
""<wii-waaswaayaan>""
	""waaswaa"" PVTense/wii VAI Cnj Pos Neu 1SgSubj
""<.>""
","""<ningii-wanitoon>""
	""wanitoon"" PVTense/gii VTI Ind Pos Neu 1SgSubj 0SgObj
""<niwaazakonebijigan>""
	""waazakonebijigan"" NI Sg 1SgPoss
""<wii-aabajitooyaan>""
	""aabajitoon"" PVTense/wii VTI Cnj Pos Neu 1SgSubj 0PlObj
	""aabajitoon"" PVTense/wii VTI Cnj Pos Neu 1SgSubj 0SgObj
""<wii-waaswaayaan>""
	""waaswaa"" PVTense/wii VAI Cnj Pos Neu 1SgSubj
""<.>""
",
Awiya ogii'-ondamishkaan miiziiwigamig. Ingii-paabii'aa ji-giizhiitaad,Someone was occupying the bathroom. I waited for h/ to finish.,"""<ji-giizhiitaad>""
	""giizhiitaa"" PVTense/daa VAI Cnj Pos Neu 3SgProxSubj
	""giizhiitaa"" PVTense/ga VAI Cnj Pos Neu 3SgProxSubj","""<awiya>""
	""awiya"" PRONIndf
""<ogii'-ondamishkaan>""
	""ondamishkan"" PVTense/gii' VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<miiziiwigamig>""
	""miiziiwigamig"" NI Sg
""<.>""

""<ingii-paabii'aa>""
	""baabii'"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3SgProxObj
""<ji-giizhiitaad>""
	""giizhiitaa"" PVTense/daa VAI Cnj Pos Neu 3SgProxSubj
	""giizhiitaa"" PVTense/ga VAI Cnj Pos Neu 3SgProxSubj","""<awiya>""
	""awiya"" PRONIndf
""<ogii'-ondamishkaan>""
	""ondamishkan"" PVTense/gii' VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<miiziiwigamig>""
	""miiziiwigamig"" NI Sg
""<.>""

""<ingii-paabii'aa>""
	""baabii'"" PVTense/gii VTA Ind Pos Neu 1SgSubj 3SgProxObj
""<ji-giizhiitaad>""
	""giizhiitaa"" PVTense/daa VAI Cnj Pos Neu 3SgProxSubj
	""giizhiitaa"" PVTense/ga VAI Cnj Pos Neu 3SgProxSubj",
Debinaak odizhitoon gaa-ozhitood wiigwaasinaagan.,She's  making that birch bark basket in a rough way.,"""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<gaa-ozhitood>""
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<odizhitoon>""
	""izhitoon"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-ozhitood>""
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<wiigwaasinaagan>""
	""wiigwaasinaagan"" NI Sg
""<.>""
","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<odizhitoon>""
	""izhitoon"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-ozhitood>""
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""ozhitoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<wiigwaasinaagan>""
	""wiigwaasinaagan"" NI Sg
""<.>""
",
Gagwe-minotoon iwe zhiiwaagamizigan wezhitooyin.,Try and make the syrup you're making good.,"""<gagwe-minotoon>""
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0SgObj
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0PlObj","""<gagwe-minotoon>""
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0SgObj
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0PlObj
""<iwe>""

""<zhiiwaagamizigan>""
	""zhiiwaagamizigan"" NI Sg
""<wezhitooyin>""

""<.>""
","""<gagwe-minotoon>""
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0SgObj
	""minotoon"" PVLex/gagwe VTI Imp Sim 2SgSubj 0PlObj
""<iwe>""

""<zhiiwaagamizigan>""
	""zhiiwaagamizigan"" NI Sg
""<wezhitooyin>""

""<.>""
",
Zhingaatesidoon gimanoominim ji-bengwashkising.,Spread out your rice so it can get dry.,"""<zhingaatesidoon>""
	""zhingaatesidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""zhingaatesidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<ji-bengwashkising>""
	""bengwashkisin"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""bengwashkisin"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""bengwashkisin"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""bengwashkisin"" PVTense/ga VII Cnj Pos Neu 0PlSubj","""<zhingaatesidoon>""
	""zhingaatesidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""zhingaatesidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<gimanoominim>""
	""manoomin"" NI Poss Sg 2SgPoss
""<ji-bengwashkising>""
	""bengwashkisin"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""bengwashkisin"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""bengwashkisin"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""bengwashkisin"" PVTense/ga VII Cnj Pos Neu 0PlSubj
""<.>""
","""<zhingaatesidoon>""
	""zhingaatesidoon"" VTI Imp Sim 2SgSubj 0SgObj
	""zhingaatesidoon"" VTI Imp Sim 2SgSubj 0PlObj
""<gimanoominim>""
	""manoomin"" NI Poss Sg 2SgPoss
""<ji-bengwashkising>""
	""bengwashkisin"" PVTense/daa VII Cnj Pos Neu 0SgSubj
	""bengwashkisin"" PVTense/ga VII Cnj Pos Neu 0SgSubj
	""bengwashkisin"" PVTense/daa VII Cnj Pos Neu 0PlSubj
	""bengwashkisin"" PVTense/ga VII Cnj Pos Neu 0PlSubj
""<.>""
",
Ogii-minwaabandaanaawaa gaa-waabandamowaad iwe gichi-mandaamini-gitigaan.,They liked the huge cornfield they saw.,"""<gaa-waabandamowaad>""
	""waabandan"" PVSub/gaa VTI Cnj Pos Neu 3PlProxSubj 0PlObj
	""waabandan"" PVSub/gaa VTI Cnj Pos Neu 3PlProxSubj 0SgObj
""<gichi-mandaamini-gitigaan>""
	""PNLex/gichi"" mandaamini-gitigaan NI Sg
	""PNLex/chi"" mandaamini-gitigaan NI Sg 2SgPoss","""<ogii-minwaabandaanaawaa>""
	""minwaabandan"" PVTense/gii VTI Ind Pos Neu 3PlProxSubj 0SgObj
""<gaa-waabandamowaad>""
	""waabandan"" PVSub/gaa VTI Cnj Pos Neu 3PlProxSubj 0PlObj
	""waabandan"" PVSub/gaa VTI Cnj Pos Neu 3PlProxSubj 0SgObj
""<iwe>""

""<gichi-mandaamini-gitigaan>""
	""PNLex/gichi"" mandaamini-gitigaan NI Sg
	""PNLex/chi"" mandaamini-gitigaan NI Sg 2SgPoss
""<.>""
","""<ogii-minwaabandaanaawaa>""
	""minwaabandan"" PVTense/gii VTI Ind Pos Neu 3PlProxSubj 0SgObj
""<gaa-waabandamowaad>""
	""waabandan"" PVSub/gaa VTI Cnj Pos Neu 3PlProxSubj 0PlObj
	""waabandan"" PVSub/gaa VTI Cnj Pos Neu 3PlProxSubj 0SgObj
""<iwe>""

""<gichi-mandaamini-gitigaan>""
	""PNLex/gichi"" mandaamini-gitigaan NI Sg
	""PNLex/chi"" mandaamini-gitigaan NI Sg 2SgPoss
""<.>""
",
Giinitamawind ina giga-o-bawa'aamin manoomin.,Is it our turn to go knock rice?,"""<giga-o-bawa'aamin>""
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0SgObj
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0PlObj
	""PVDir/o"" PVTense/ga bawa'am VAI Ind Pos Neu InclSubj","""<giinitamawind>""
	""giinitamawind"" PRONPer
""<ina>""
	""ina"" PCDisc
""<giga-o-bawa'aamin>""
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0SgObj
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0PlObj
	""PVDir/o"" PVTense/ga bawa'am VAI Ind Pos Neu InclSubj
""<manoomin>""
	""manoomin"" NI Sg
""<.>""
","""<giinitamawind>""
	""giinitamawind"" PRONPer
""<ina>""
	""ina"" PCDisc
""<giga-o-bawa'aamin>""
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0SgObj
	""PVDir/o"" PVTense/ga bawa'an VTI Ind Pos Neu InclSubj 0PlObj
	""PVDir/o"" PVTense/ga bawa'am VAI Ind Pos Neu InclSubj
""<manoomin>""
	""manoomin"" NI Sg
""<.>""
",
