wordform,fst_analyses
adaaweyaan,"['adaawe+VAI+Cnj+Pos+Neu+1SgSubj', 'adaawen+VAIO+Cnj+Pos+Neu+1SgSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+1SgSubj+0PlObj']"
adaaweyan,"['adaawe+VAI+Cnj+Pos+Neu+2SgSubj', 'adaawen+VAIO+Cnj+Pos+Neu+2SgSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+2SgSubj+0PlObj']"
adaaweyaang,"['adaawe+VAI+Cnj+Pos+Neu+ExclSubj', 'adaawen+VAIO+Cnj+Pos+Neu+ExclSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+ExclSubj+0PlObj']"
adaaweyang,"['adaawe+VAI+Cnj+Pos+Neu+InclSubj', 'adaawen+VAIO+Cnj+Pos+Neu+InclSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+InclSubj+0PlObj']"
adaaweyeg,"['adaawe+VAI+Cnj+Pos+Neu+2PlSubj', 'adaawen+VAIO+Cnj+Pos+Neu+2PlSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+2PlSubj+0PlObj']"
adaawed,"['adaawe+VAI+Cnj+Pos+Neu+3SgProxSubj', 'adaawen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+3SgProxSubj+0PlObj']"
adaawewaad,"['adaawe+VAI+Cnj+Pos+Neu+3PlProxSubj', 'adaawen+VAIO+Cnj+Pos+Neu+3PlProxSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+3PlProxSubj+0PlObj']"
adaawenid,"['adaawe+VAI+Cnj+Pos+Neu+3PlObvSubj', 'adaawe+VAI+Cnj+Pos+Neu+3SgObvSubj', 'adaawen+VAIO+Cnj+Pos+Neu+3PlObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+3SgObvSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+3PlObvSubj+0PlObj', 'adaawen+VAIO+Cnj+Pos+Neu+3SgObvSubj+0PlObj']"
adaaweng,"['adaawe+VAI+Cnj+Pos+Neu+XSubj', 'adaawen+VAIO+Cnj+Pos+Neu+XSubj+0SgObj', 'adaawen+VAIO+Cnj+Pos+Neu+XSubj+0PlObj']"
adaawesiwaan,"['adaawe+VAI+Cnj+Neg+Neu+1SgSubj', 'adaawen+VAIO+Cnj+Neg+Neu+1SgSubj+0PlObj', 'adaawen+VAIO+Cnj+Neg+Neu+1SgSubj+0SgObj']"
adaawesiwan,"['adaawe+VAI+Cnj+Neg+Neu+2SgSubj', 'adaawen+VAIO+Cnj+Neg+Neu+2SgSubj+0SgObj', 'adaawen+VAIO+Cnj+Neg+Neu+2SgSubj+0PlObj']"
