wordform,fst_analyses
nindadaawesiinaadog,"['adaawe+VAI+Ind+Neg+Dub+1SgSubj', 'adaawen+VAIO+Ind+Neg+Dub+1SgSubj+0SgObj']"
gidadaawesiinaadog,"['adaawe+VAI+Ind+Neg+Dub+2SgSubj', 'adaawen+VAIO+Ind+Neg+Dub+2SgSubj+0SgObj']"
nindadaawesiiminaadog,"['adaawe+VAI+Ind+Neg+Dub+ExclSubj', 'adaawen+VAIO+Ind+Neg+Dub+ExclSubj+0SgObj']"
gidadaawesiiminaadog,"['adaawe+VAI+Ind+Neg+Dub+InclSubj', 'adaawen+VAIO+Ind+Neg+Dub+InclSubj+0SgObj']"
nindadaawenaadog,"['adaawe+VAI+Ind+Pos+Dub+1SgSubj', 'adaawen+VAIO+Ind+Pos+Dub+1SgSubj+0SgObj']"
gidadaawenaadog,"['adaawe+VAI+Ind+Pos+Dub+2SgSubj', 'adaawen+VAIO+Ind+Pos+Dub+2SgSubj+0SgObj']"
nindadaaweminaadog,"['adaawe+VAI+Ind+Pos+Dub+ExclSubj', 'adaawen+VAIO+Ind+Pos+Dub+ExclSubj+0SgObj']"
gidadaaweminaadog,"['adaawe+VAI+Ind+Pos+Dub+InclSubj', 'adaawen+VAIO+Ind+Pos+Dub+InclSubj+0SgObj']"
adaawesiigwaaban,"['adaawe+VAI+Ind+Neg+DubPrt+3PlProxSubj', 'adaawen+VAIO+Ind+Neg+DubPrt+3PlProxSubj+0PlObj', 'adaawen+VAIO+Ind+Neg+DubPrt+3PlProxSubj+0SgObj']"
adaawesiinigoban,"['adaawe+VAI+Ind+Neg+DubPrt+3SgObvSubj', 'adaawen+VAIO+Ind+Neg+DubPrt+3SgObvSubj+0PlObj', 'adaawen+VAIO+Ind+Neg+DubPrt+3SgObvSubj+0SgObj']"
adaawesiigoban,"['adaawe+VAI+Ind+Neg+DubPrt+3SgProxSubj', 'adaawen+VAIO+Ind+Neg+DubPrt+3SgProxSubj+0PlObj', 'adaawen+VAIO+Ind+Neg+DubPrt+3SgProxSubj+0SgObj']"
adaawegwaaban,"['adaawe+VAI+Ind+Pos+DubPrt+3PlProxSubj', 'adaawen+VAIO+Ind+Pos+DubPrt+3PlProxSubj+0PlObj', 'adaawen+VAIO+Ind+Pos+DubPrt+3PlProxSubj+0SgObj']"
adaawenigoban,"['adaawe+VAI+Ind+Pos+DubPrt+3SgObvSubj', 'adaawen+VAIO+Ind+Pos+DubPrt+3SgObvSubj+0PlObj', 'adaawen+VAIO+Ind+Pos+DubPrt+3SgObvSubj+0SgObj']"
adaawegoban,"['adaawe+VAI+Ind+Pos+DubPrt+3SgProxSubj', 'adaawen+VAIO+Ind+Pos+DubPrt+3SgProxSubj+0SgObj', 'adaawen+VAIO+Ind+Pos+DubPrt+3SgProxSubj+0PlObj']"
nindadaawesiin,"['adaawe+VAI+Ind+Neg+Neu+1SgSubj', 'adaawen+VAIO+Ind+Neg+Neu+1SgSubj+0SgObj']"
gidadaawesiin,"['adaawe+VAI+Ind+Neg+Neu+2SgSubj', 'adaawen+VAIO+Ind+Neg+Neu+2SgSubj+0SgObj']"
odadaawesiinini,"['adaawen+VAIO+Ind+Neg+Neu+3SgObvSubj+0PlObj', 'adaawen+VAIO+Ind+Neg+Neu+3SgObvSubj+0SgObj']"
nindadaawesiimin,"['adaawe+VAI+Ind+Neg+Neu+ExclSubj', 'adaawen+VAIO+Ind+Neg+Neu+ExclSubj+0PlObj', 'adaawen+VAIO+Ind+Neg+Neu+ExclSubj+0SgObj']"
gidadaawesiimin,"['adaawe+VAI+Ind+Neg+Neu+InclSubj', 'adaawen+VAIO+Ind+Neg+Neu+InclSubj+0PlObj', 'adaawen+VAIO+Ind+Neg+Neu+InclSubj+0SgObj']"
odadaawenini,"['adaawen+VAIO+Ind+Pos+Neu+3SgObvSubj+0SgObj', 'adaawen+VAIO+Ind+Pos+Neu+3SgObvSubj+0PlObj']"
nindadaawemin,"['adaawe+VAI+Ind+Pos+Neu+ExclSubj', 'adaawen+VAIO+Ind+Pos+Neu+ExclSubj+0SgObj', 'adaawen+VAIO+Ind+Pos+Neu+ExclSubj+0PlObj']"
gidadaawemin,"['adaawe+VAI+Ind+Pos+Neu+InclSubj', 'adaawen+VAIO+Ind+Pos+Neu+InclSubj+0SgObj', 'adaawen+VAIO+Ind+Pos+Neu+InclSubj+0PlObj']"
nindadaawesiinaaban,"['adaawe+VAI+Ind+Neg+Prt+1SgSubj', 'adaawen+VAIO+Ind+Neg+Prt+1SgSubj+0SgObj']"
gidadaawesiinaaban,"['adaawe+VAI+Ind+Neg+Prt+2SgSubj', 'adaawen+VAIO+Ind+Neg+Prt+2SgSubj+0SgObj']"
nindadaawesiiminaaban,"['adaawe+VAI+Ind+Neg+Prt+ExclSubj', 'adaawen+VAIO+Ind+Neg+Prt+ExclSubj+0SgObj']"
gidadaawesiiminaaban,"['adaawe+VAI+Ind+Neg+Prt+InclSubj', 'adaawen+VAIO+Ind+Neg+Prt+InclSubj+0SgObj']"
nindadaawenaaban,"['adaawe+VAI+Ind+Pos+Prt+1SgSubj', 'adaawen+VAIO+Ind+Pos+Prt+1SgSubj+0SgObj']"
gidadaawenaaban,"['adaawe+VAI+Ind+Pos+Prt+2SgSubj', 'adaawen+VAIO+Ind+Pos+Prt+2SgSubj+0SgObj']"
nindadaaweminaaban,"['adaawe+VAI+Ind+Pos+Prt+ExclSubj', 'adaawen+VAIO+Ind+Pos+Prt+ExclSubj+0SgObj']"
gidadaaweminaaban,"['adaawe+VAI+Ind+Pos+Prt+InclSubj', 'adaawen+VAIO+Ind+Pos+Prt+InclSubj+0SgObj']"
