wordform,fst_analyses
madaabiisiiwaanen,"['madaabii+VAI+Cnj+Neg+Dub+1SgSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+1SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+1SgSubj+0SgObj']"
madaabiisiiwegwen,"['madaabii+VAI+Cnj+Neg+Dub+2PlSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+2PlSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+2PlSubj+0SgObj']"
madaabiisiiwanen,"['madaabii+VAI+Cnj+Neg+Dub+2SgSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+2SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+2SgSubj+0SgObj']"
zaaga'anziinigwen,"[""zaaga'am+VAI+Cnj+Neg+Dub+3PlObvSubj"", ""zaaga'am+VAI+Cnj+Neg+Dub+3SgObvSubj""]"
minongwaanziinigwen,"['minongwaam+VAI+Cnj+Neg+Dub+3PlObvSubj', 'minongwaam+VAI+Cnj+Neg+Dub+3SgObvSubj']"
wanishinziinigwen,"['wanishin+VAI+Cnj+Neg+Dub+3PlObvSubj', 'wanishin+VAI+Cnj+Neg+Dub+3SgObvSubj']"
nagamosiinigwen,"['nagamo+VAI+Cnj+Neg+Dub+3PlObvSubj', 'nagamo+VAI+Cnj+Neg+Dub+3SgObvSubj']"
niimisiinigwen,"['niimi+VAI+Cnj+Neg+Dub+3PlObvSubj', 'niimi+VAI+Cnj+Neg+Dub+3SgObvSubj']"
maajiibatoosiinigwen,"['maajiibatoo+VAI+Cnj+Neg+Dub+3PlObvSubj', 'maajiibatoo+VAI+Cnj+Neg+Dub+3SgObvSubj']"
madaabiisiinigwen,"['madaabii+VAI+Cnj+Neg+Dub+3PlObvSubj', 'madaabii+VAI+Cnj+Neg+Dub+3SgObvSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+3PlObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+3SgObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+3PlObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Dub+3SgObvSubj+0SgObj']"
nibaasiinigwen,"['nibaa+VAI+Cnj+Neg+Dub+3PlObvSubj', 'nibaa+VAI+Cnj+Neg+Dub+3SgObvSubj']"
webinigesiinigwen,"['webinige+VAI+Cnj+Neg+Dub+3PlObvSubj', 'webinige+VAI+Cnj+Neg+Dub+3SgObvSubj']"
madaabiisiiwaagwen,"['madaabii+VAI+Cnj+Neg+Dub+3PlProxSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+3PlProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+3PlProxSubj+0SgObj']"
madaabiisiigwen,"['madaabii+VAI+Cnj+Neg+Dub+3SgProxSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+3SgProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+3SgProxSubj+0SgObj']"
madaabiisiiwaangen,"['madaabii+VAI+Cnj+Neg+Dub+ExclSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+ExclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+ExclSubj+0SgObj']"
madaabiisiiwangen,"['madaabii+VAI+Cnj+Neg+Dub+InclSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+InclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+InclSubj+0SgObj']"
madaabiisiiwiingen,"['madaabii+VAI+Cnj+Neg+Dub+XSubj', 'madaabiin+VAIO+Cnj+Neg+Dub+XSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Dub+XSubj+0SgObj']"
