wordform,fst_analyses
maajiibatookegon,"['maajiibatoo+VAI+Imp+Prb+2PlSubj', 'maajiibatoo+VAI+Imp+Del+2PlSubj']"
madaabiikegon,"['madaabii+VAI+Imp+Prb+2PlSubj', 'madaabii+VAI+Imp+Del+2PlSubj', 'madaabiin+VAIO+Imp+Prb+2PlSubj+0PlObj', 'madaabiin+VAIO+Imp+Prb+2PlSubj+0SgObj']"
nibaakegon,"['nibaa+VAI+Imp+Prb+2PlSubj', 'nibaa+VAI+Imp+Del+2PlSubj']"
webinigekegon,"['webinige+VAI+Imp+Prb+2PlSubj', 'webinige+VAI+Imp+Del+2PlSubj']"
madaabiiyok,"['madaabii+VAI+Imp+Sim+2PlSubj', 'madaabiin+VAIO+Imp+Sim+2PlSubj+0SgObj', 'madaabiin+VAIO+Imp+Sim+2PlSubj+0PlObj']"
madaabiikan,"['madaabiin+VAIO+Imp+Del+2SgSubj+0SgObj', 'madaabiin+VAIO+Imp+Del+2SgSubj+0PlObj', 'madaabii+VAI+Imp+Del+2SgSubj']"
madaabiin,"['madaabii+VAI+Imp+Sim+2SgSubj', 'madaabiin+VAIO+Imp+Sim+2SgSubj+0SgObj', 'madaabiin+VAIO+Imp+Sim+2SgSubj+0PlObj']"
minongwaamin,"['minongwaami+VAI+Imp+Sim+2SgSubj', 'minongwaam+VAI+Imp+Sim+2SgSubj']"
nagamon,"['nagamo+VAI+Imp+Sim+2SgSubj', 'nagamon+NI+Sg']"
niimin,"['niimi+VAI+Imp+Sim+2SgSubj', 'niimin+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'niimin+VTA+Imp+Sim+2SgSubj+3PlProxObj']"
maajiibatoodaa,"['maajiibatoo+VAI+Imp+Del+InclSubj', 'maajiibatoo+VAI+Imp+Sim+InclSubj']"
madaabiidaa,"['madaabii+VAI+Imp+Del+InclSubj', 'madaabii+VAI+Imp+Sim+InclSubj', 'madaabiin+VAIO+Imp+Sim+InclSubj+0SgObj']"
minongwaandaa,"['minongwaam+VAI+Imp+Del+InclSubj', 'minongwaam+VAI+Imp+Sim+InclSubj']"
nagamodaa,"['nagamo+VAI+Imp+Del+InclSubj', 'nagamo+VAI+Imp+Sim+InclSubj']"
nibaadaa,"['nibaa+VAI+Imp+Del+InclSubj', 'nibaa+VAI+Imp+Sim+InclSubj']"
niimidaa,"['niimi+VAI+Imp+Del+InclSubj', 'niimi+VAI+Imp+Sim+InclSubj']"
wanishindaa,"['wanishin+VAI+Imp+Del+InclSubj', 'wanishin+VAI+Imp+Sim+InclSubj']"
webinigedaa,"['webinige+VAI+Imp+Del+InclSubj', 'webinige+VAI+Imp+Sim+InclSubj']"
zaaga'andaa,"[""zaaga'am+VAI+Imp+Sim+InclSubj"", ""zaaga'am+VAI+Imp+Del+InclSubj""]"
