wordform,fst_analyses
nimadaabiisiinaadog,"['madaabii+VAI+Ind+Neg+Dub+1SgSubj', 'madaabiin+VAIO+Ind+Neg+Dub+1SgSubj+0SgObj']"
gimadaabiisiinaadog,"['madaabii+VAI+Ind+Neg+Dub+2SgSubj', 'madaabiin+VAIO+Ind+Neg+Dub+2SgSubj+0SgObj']"
zaaga'anziidogenan,"[""zaaga'am+VAI+Ind+Neg+Dub+3SgObvSubj"", ""zaaga'am+VAI+Ind+Neg+Dub+3PlObvSubj""]"
minongwaanziidogenan,"['minongwaam+VAI+Ind+Neg+Dub+3SgObvSubj', 'minongwaam+VAI+Ind+Neg+Dub+3PlObvSubj']"
wanishinziidogenan,"['wanishin+VAI+Ind+Neg+Dub+3SgObvSubj', 'wanishin+VAI+Ind+Neg+Dub+3PlObvSubj']"
nagamosiidogenan,"['nagamo+VAI+Ind+Neg+Dub+3SgObvSubj', 'nagamo+VAI+Ind+Neg+Dub+3PlObvSubj']"
niimisiidogenan,"['niimi+VAI+Ind+Neg+Dub+3SgObvSubj', 'niimi+VAI+Ind+Neg+Dub+3PlObvSubj']"
maajiibatoosiidogenan,"['maajiibatoo+VAI+Ind+Neg+Dub+3SgObvSubj', 'maajiibatoo+VAI+Ind+Neg+Dub+3PlObvSubj']"
madaabiisiidogenan,"['madaabii+VAI+Ind+Neg+Dub+3SgObvSubj', 'madaabii+VAI+Ind+Neg+Dub+3PlObvSubj']"
nibaasiidogenan,"['nibaa+VAI+Ind+Neg+Dub+3SgObvSubj', 'nibaa+VAI+Ind+Neg+Dub+3PlObvSubj']"
webinigesiidogenan,"['webinige+VAI+Ind+Neg+Dub+3SgObvSubj', 'webinige+VAI+Ind+Neg+Dub+3PlObvSubj']"
nimadaabiisiiminaadog,"['madaabii+VAI+Ind+Neg+Dub+ExclSubj', 'madaabiin+VAIO+Ind+Neg+Dub+ExclSubj+0SgObj']"
gimadaabiisiiminaadog,"['madaabii+VAI+Ind+Neg+Dub+InclSubj', 'madaabiin+VAIO+Ind+Neg+Dub+InclSubj+0SgObj']"
niminongwaaminaadog,"['minongwaam+VAI+Ind+Pos+Dub+1SgSubj', 'minongwaami+VAI+Ind+Pos+Dub+1SgSubj']"
niniiminaadog,"['niimi+VAI+Ind+Pos+Dub+1SgSubj', 'niimin+VTA+Ind+Pos+Dub+1SgSubj+3SgProxObj']"
