wordform,fst_analyses
mayaajiibatoosiinigwenan,"['maajiibatoo+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'maajiibatoo+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
medaabiisiinigwenan,"['madaabii+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'madaabii+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
menongwaanziinigwenan,"['minongwaam+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'minongwaam+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
negamosiinigwenan,"['nagamo+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'nagamo+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
nebaasiinigwenan,"['nibaa+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'nibaa+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
naamisiinigwenan,"['niimi+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'niimi+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
wenishinziinigwenan,"['wanishin+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'wanishin+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
wayebinigesiinigwenan,"['webinige+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead', 'webinige+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead']"
zayaaga'anziinigwenan,"[""zaaga'am+VAI+Pcp+Neg+Dub+3PlObvSubj+3PlObvHead"", ""zaaga'am+VAI+Pcp+Neg+Dub+3SgObvSubj+3SgObvHead""]"
mayaajiibatoonigwenan,"['maajiibatoo+VAI+Pcp+Pos+Dub+3PlObvSubj+3PlObvHead', 'maajiibatoo+VAI+Pcp+Pos+Dub+3SgObvSubj+3SgObvHead']"
medaabiinigwenan,"['madaabii+VAI+Pcp+Pos+Dub+3PlObvSubj+3PlObvHead', 'madaabii+VAI+Pcp+Pos+Dub+3SgObvSubj+3SgObvHead']"
