wordform,fst_analyses
waabandisiweg,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Neu+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Neg+Neu+2PlSubj+2PlObj']"
waabandiyeg,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Neu+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Pos+Neu+2PlSubj+2PlObj']"
waabandisiiwegwen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Dub+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Neg+Dub+2PlSubj+2PlObj']"
waabandiwegwen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Dub+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Pos+Dub+2PlSubj+2PlObj']"
waabandisiiwegibanen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+DubPrt+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Neg+DubPrt+2PlSubj+2PlObj']"
waabandiwegibanen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+DubPrt+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Pos+DubPrt+2PlSubj+2PlObj']"
waabandisiwegiban,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Prt+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Neg+Prt+2PlSubj+2PlObj']"
waabandiyegiban,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Prt+2PlSubj+2PlObj', 'waabandiwag+VAI+Cnj+Pos+Prt+2PlSubj+2PlObj']"
waabandiikegon,"['waabam+VTA+Recip/di+VAI+Imp+Del+2PlSubj+2PlObj', 'waabandiwag+VAI+Imp+Del+2PlSubj+2PlObj']"
waabandikegon,"['waabam+VTA+Recip/di+VAI+Imp+Prb+2PlSubj+2PlObj', 'waabandiwag+VAI+Imp+Prb+2PlSubj+2PlObj']"
waabandiyok,"['waabam+VTA+Recip/di+VAI+Imp+Sim+2PlSubj+2PlObj', 'waabandiwag+VAI+Imp+Sim+2PlSubj+2PlObj']"
giwaabandisiim,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Neu+2PlSubj+2PlObj', 'waabandiwag+VAI+Ind+Neg+Neu+2PlSubj+2PlObj']"
giwaabandim,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Neu+2PlSubj+2PlObj', 'waabandiwag+VAI+Ind+Pos+Neu+2PlSubj+2PlObj']"
giwaabandimwaaban,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Prt+2PlSubj+2PlObj', 'waabandiwag+VAI+Ind+Pos+Prt+2PlSubj+2PlObj']"
giwaabandisiimwaaban,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Prt+2PlSubj+2PlObj', 'waabandiwag+VAI+Ind+Neg+Prt+2PlSubj+2PlObj']"
giwaabandimwaadog,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Dub+2PlSubj+2PlObj', 'waabandiwag+VAI+Ind+Pos+Dub+2PlSubj+2PlObj']"
giwaabandisiimwaadog,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Dub+2PlSubj+2PlObj', 'waabandiwag+VAI+Ind+Neg+Dub+2PlSubj+2PlObj']"
waabandisinig,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Neu+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Neg+Neu+3PlObvSubj+3PlObvObj']"
waabandinid,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Neu+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Pos+Neu+3PlObvSubj+3PlObvObj']"
waabandisiinigwen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Dub+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Neg+Dub+3PlObvSubj+3PlObvObj']"
waabandinigwen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Dub+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Pos+Dub+3PlObvSubj+3PlObvObj']"
waabandisiinigobanen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+DubPrt+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Neg+DubPrt+3PlObvSubj+3PlObvObj']"
waabandinigobanen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+DubPrt+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Pos+DubPrt+3PlObvSubj+3PlObvObj']"
waabandisinigoban,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Prt+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Neg+Prt+3PlObvSubj+3PlObvObj']"
waabandinipan,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Prt+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Cnj+Pos+Prt+3PlObvSubj+3PlObvObj']"
waabandisiiwa',"['waabam+VTA+Recip/di+VAI+Ind+Neg+Neu+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Ind+Neg+Neu+3PlObvSubj+3PlObvObj']"
waabandiwa',"['waabam+VTA+Recip/di+VAI+Ind+Pos+Neu+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Ind+Pos+Neu+3PlObvSubj+3PlObvObj']"
waabandiibanii',"['waabam+VTA+Recip/di+VAI+Ind+Pos+Prt+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Ind+Pos+Prt+3PlObvSubj+3PlObvObj']"
waabandisiibanii',"['waabam+VTA+Recip/di+VAI+Ind+Neg+Prt+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Ind+Neg+Prt+3PlObvSubj+3PlObvObj']"
waabandidogena',"['waabam+VTA+Recip/di+VAI+Ind+Pos+Dub+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Ind+Pos+Dub+3PlObvSubj+3PlObvObj']"
waabandisiidogena',"['waabam+VTA+Recip/di+VAI+Ind+Neg+Dub+3PlObvSubj+3PlObvObj', 'waabandiwag+VAI+Ind+Neg+Dub+3PlObvSubj+3PlObvObj']"
waabandisigwaa,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Neu+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Neg+Neu+3PlProxSubj+3PlProxObj']"
waabandiwaad,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Neu+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Pos+Neu+3PlProxSubj+3PlProxObj']"
waabandisiiwaagwen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Dub+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Neg+Dub+3PlProxSubj+3PlProxObj']"
waabandiwaagwen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Dub+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Pos+Dub+3PlProxSubj+3PlProxObj']"
waabandisiiwaagobanen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+DubPrt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Neg+DubPrt+3PlProxSubj+3PlProxObj']"
waabandiwaagobanen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+DubPrt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Pos+DubPrt+3PlProxSubj+3PlProxObj']"
waabandisigwaaban,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Prt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Neg+Prt+3PlProxSubj+3PlProxObj']"
waabandiwaapan,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Prt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Cnj+Pos+Prt+3PlProxSubj+3PlProxObj']"
waabandisiiwag,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Neu+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Neg+Neu+3PlProxSubj+3PlProxObj']"
waabandiwag,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Neu+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Pos+Neu+3PlProxSubj+3PlProxObj']"
waabandiibaniig,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Prt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Pos+Prt+3PlProxSubj+3PlProxObj']"
waabandisiibaniig,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Prt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Neg+Prt+3PlProxSubj+3PlProxObj']"
waabandiwidogenag,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Dub+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Pos+Dub+3PlProxSubj+3PlProxObj']"
waabandisiidogenag,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Dub+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Neg+Dub+3PlProxSubj+3PlProxObj']"
