wordform,fst_analyses
atemagasininiigwen,"['ate+VII+Aug/magad+VII+Cnj+Neg+Dub+0PlObvSubj', 'atemagad+VII+Cnj+Neg+Dub+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+Dub+0SgObvSubj', 'atemagad+VII+Cnj+Neg+Dub+0SgObvSubj']"
zanagasininiigwen,"['zanagad+VII+Cnj+Neg+Dub+0PlObvSubj', 'zanagad+VII+Cnj+Neg+Dub+0SgObvSubj']"
bangisinzininiigwen,"['bangisin+VII+Cnj+Neg+Dub+0PlObvSubj', 'bangisin+VII+Cnj+Neg+Dub+0SgObvSubj']"
atesininiigwen,"['ate+VII+Cnj+Neg+Dub+0PlObvSubj', 'ate+VII+Cnj+Neg+Dub+0SgObvSubj']"
gonzaabiisininiigwen,"['gonzaabii+VII+Cnj+Neg+Dub+0PlObvSubj', 'gonzaabii+VII+Cnj+Neg+Dub+0SgObvSubj']"
michaasininiigwen,"['michaa+VII+Cnj+Neg+Dub+0PlObvSubj', 'michaa+VII+Cnj+Neg+Dub+0SgObvSubj']"
atemagasinoogwen,"['ate+VII+Aug/magad+VII+Cnj+Neg+Dub+0PlSubj', 'atemagad+VII+Cnj+Neg+Dub+0PlSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+Dub+0SgSubj', 'atemagad+VII+Cnj+Neg+Dub+0SgSubj']"
zanagasinoogwen,"['zanagad+VII+Cnj+Neg+Dub+0PlSubj', 'zanagad+VII+Cnj+Neg+Dub+0SgSubj']"
bangisinzinoogwen,"['bangisin+VII+Cnj+Neg+Dub+0PlSubj', 'bangisin+VII+Cnj+Neg+Dub+0SgSubj']"
atesinoogwen,"['ate+VII+Cnj+Neg+Dub+0PlSubj', 'ate+VII+Cnj+Neg+Dub+0SgSubj']"
gonzaabiisinoogwen,"['gonzaabii+VII+Cnj+Neg+Dub+0PlSubj', 'gonzaabii+VII+Cnj+Neg+Dub+0SgSubj']"
michaasinoogwen,"['michaa+VII+Cnj+Neg+Dub+0PlSubj', 'michaa+VII+Cnj+Neg+Dub+0SgSubj']"
atemagadinigwen,"['ate+VII+Aug/magad+VII+Cnj+Pos+Dub+0PlObvSubj', 'atemagad+VII+Cnj+Pos+Dub+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+Dub+0SgObvSubj', 'atemagad+VII+Cnj+Pos+Dub+0SgObvSubj']"
zanagadinigwen,"['zanagad+VII+Cnj+Pos+Dub+0PlObvSubj', 'zanagad+VII+Cnj+Pos+Dub+0SgObvSubj']"
bangisininigwen,"['bangisin+VII+Cnj+Pos+Dub+0PlObvSubj', 'bangisin+VII+Cnj+Pos+Dub+0SgObvSubj']"
atenigwen,"['ate+VII+Cnj+Pos+Dub+0PlObvSubj', 'ate+VII+Cnj+Pos+Dub+0SgObvSubj']"
gonzaabiinigwen,"['gonzaabii+VAI+Cnj+Pos+Dub+3PlObvSubj', 'gonzaabii+VAI+Cnj+Pos+Dub+3SgObvSubj', 'gonzaabii+VII+Cnj+Pos+Dub+0PlObvSubj', 'gonzaabii+VII+Cnj+Pos+Dub+0SgObvSubj']"
michaanigwen,"['michaa+VII+Cnj+Pos+Dub+0PlObvSubj', 'michaa+VII+Cnj+Pos+Dub+0SgObvSubj']"
atemagadogwen,"['ate+VII+Aug/magad+VII+Cnj+Pos+Dub+0PlSubj', 'atemagad+VII+Cnj+Pos+Dub+0PlSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+Dub+0SgSubj', 'atemagad+VII+Cnj+Pos+Dub+0SgSubj']"
zanagadogwen,"['zanagad+VII+Cnj+Pos+Dub+0PlSubj', 'zanagad+VII+Cnj+Pos+Dub+0SgSubj']"
bangisinogwen,"['bangisin+VII+Cnj+Pos+Dub+0PlSubj', 'bangisin+VII+Cnj+Pos+Dub+0SgSubj']"
ategwen,"['ate+VII+Cnj+Pos+Dub+0SgSubj', 'ate+VII+Cnj+Pos+Dub+0PlSubj']"
gonzaabiigwen,"['gonzaabii+VII+Cnj+Pos+Dub+0SgSubj', 'gonzaabii+VII+Cnj+Pos+Dub+0PlSubj', 'gonzaabii+VAI+Cnj+Pos+Dub+3SgProxSubj']"
michaagwen,"['michaa+VII+Cnj+Pos+Dub+0SgSubj', 'michaa+VII+Cnj+Pos+Dub+0PlSubj']"
atemagadininigwen,"['ate+VII+Aug/magad+VII+Cnj+Pos+Dub+0SgObvSubj', 'atemagad+VII+Cnj+Pos+Dub+0SgObvSubj']"
atemagasininigobanen,"['ate+VII+Aug/magad+VII+Cnj+Neg+DubPrt+0PlObvSubj', 'atemagad+VII+Cnj+Neg+DubPrt+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+DubPrt+0SgObvSubj', 'atemagad+VII+Cnj+Neg+DubPrt+0SgObvSubj', 'ate+VII+Aug/magad+VII+Ind+Neg+DubPrt+0PlObvSubj', 'atemagad+VII+Ind+Neg+DubPrt+0PlObvSubj']"
zanagasininigobanen,"['zanagad+VII+Cnj+Neg+DubPrt+0PlObvSubj', 'zanagad+VII+Cnj+Neg+DubPrt+0SgObvSubj', 'zanagad+VII+Ind+Neg+DubPrt+0PlObvSubj']"
bangisinzininigobanen,"['bangisin+VII+Cnj+Neg+DubPrt+0PlObvSubj', 'bangisin+VII+Cnj+Neg+DubPrt+0SgObvSubj', 'bangisin+VII+Ind+Neg+DubPrt+0PlObvSubj']"
dakaagamisininigobanen,"['dakaagamisin+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'dakaagamisin+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'dakaagamisin+VII+Ind+Pos+DubPrt+0PlObvSubj']"
atesininigobanen,"['ate+VII+Cnj+Neg+DubPrt+0PlObvSubj', 'ate+VII+Cnj+Neg+DubPrt+0SgObvSubj', 'ate+VII+Ind+Neg+DubPrt+0PlObvSubj']"
gonzaabiisininigobanen,"['gonzaabii+VII+Cnj+Neg+DubPrt+0PlObvSubj', 'gonzaabii+VII+Cnj+Neg+DubPrt+0SgObvSubj', 'gonzaabii+VII+Ind+Neg+DubPrt+0PlObvSubj']"
michaasininigobanen,"['michaa+VII+Cnj+Neg+DubPrt+0PlObvSubj', 'michaa+VII+Cnj+Neg+DubPrt+0SgObvSubj', 'michaa+VII+Ind+Neg+DubPrt+0PlObvSubj']"
atemagasinoogobanen,"['ate+VII+Aug/magad+VII+Cnj+Neg+DubPrt+0PlSubj', 'atemagad+VII+Cnj+Neg+DubPrt+0PlSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+DubPrt+0SgSubj', 'atemagad+VII+Cnj+Neg+DubPrt+0SgSubj', 'ate+VII+Aug/magad+VII+Ind+Neg+DubPrt+0PlSubj', 'atemagad+VII+Ind+Neg+DubPrt+0PlSubj']"
zanagasinoogobanen,"['zanagad+VII+Cnj+Neg+DubPrt+0PlSubj', 'zanagad+VII+Cnj+Neg+DubPrt+0SgSubj', 'zanagad+VII+Ind+Neg+DubPrt+0PlSubj']"
bangisinzinoogobanen,"['bangisin+VII+Cnj+Neg+DubPrt+0PlSubj', 'bangisin+VII+Cnj+Neg+DubPrt+0SgSubj', 'bangisin+VII+Ind+Neg+DubPrt+0PlSubj']"
atesinoogobanen,"['ate+VII+Cnj+Neg+DubPrt+0PlSubj', 'ate+VII+Cnj+Neg+DubPrt+0SgSubj', 'ate+VII+Ind+Neg+DubPrt+0PlSubj']"
gonzaabiisinoogobanen,"['gonzaabii+VII+Cnj+Neg+DubPrt+0PlSubj', 'gonzaabii+VII+Cnj+Neg+DubPrt+0SgSubj', 'gonzaabii+VII+Ind+Neg+DubPrt+0PlSubj']"
michaasinoogobanen,"['michaa+VII+Cnj+Neg+DubPrt+0PlSubj', 'michaa+VII+Cnj+Neg+DubPrt+0SgSubj', 'michaa+VII+Ind+Neg+DubPrt+0PlSubj']"
atemagadinigobanen,"['ate+VII+Aug/magad+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'atemagad+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'atemagad+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'ate+VII+Aug/magad+VII+Ind+Pos+DubPrt+0PlObvSubj', 'atemagad+VII+Ind+Pos+DubPrt+0PlObvSubj']"
zanagadinigobanen,"['zanagad+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'zanagad+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'zanagad+VII+Ind+Pos+DubPrt+0PlObvSubj']"
bangisininigobanen,"['bangisin+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'bangisin+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'bangisin+VII+Ind+Pos+DubPrt+0PlObvSubj']"
atenigobanen,"['ate+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'ate+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'ate+VII+Ind+Pos+DubPrt+0PlObvSubj']"
gonzaabiinigobanen,"['gonzaabii+VAI+Cnj+Pos+DubPrt+3PlObvSubj', 'gonzaabii+VAI+Cnj+Pos+DubPrt+3SgObvSubj', 'gonzaabii+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'gonzaabii+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'gonzaabii+VII+Ind+Pos+DubPrt+0PlObvSubj']"
michaanigobanen,"['michaa+VII+Cnj+Pos+DubPrt+0PlObvSubj', 'michaa+VII+Cnj+Pos+DubPrt+0SgObvSubj', 'michaa+VII+Ind+Pos+DubPrt+0PlObvSubj']"
atemagadogobanen,"['ate+VII+Aug/magad+VII+Cnj+Pos+DubPrt+0PlSubj', 'atemagad+VII+Cnj+Pos+DubPrt+0PlSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+DubPrt+0SgSubj', 'atemagad+VII+Cnj+Pos+DubPrt+0SgSubj', 'ate+VII+Aug/magad+VII+Ind+Pos+DubPrt+0PlSubj', 'atemagad+VII+Ind+Pos+DubPrt+0PlSubj']"
zanagadogobanen,"['zanagad+VII+Cnj+Pos+DubPrt+0PlSubj', 'zanagad+VII+Cnj+Pos+DubPrt+0SgSubj', 'zanagad+VII+Ind+Pos+DubPrt+0PlSubj']"
bangisinogobanen,"['bangisin+VII+Cnj+Pos+DubPrt+0PlSubj', 'bangisin+VII+Cnj+Pos+DubPrt+0SgSubj', 'bangisin+VII+Ind+Pos+DubPrt+0PlSubj']"
ategobanen,"['ate+VII+Cnj+Pos+DubPrt+0PlSubj', 'ate+VII+Cnj+Pos+DubPrt+0SgSubj', 'ate+VII+Ind+Pos+DubPrt+0PlObvSubj', 'ate+VII+Ind+Pos+DubPrt+0PlSubj']"
gonzaabiigobanen,"['gonzaabii+VAI+Cnj+Pos+DubPrt+3SgProxSubj', 'gonzaabii+VII+Cnj+Pos+DubPrt+0PlSubj', 'gonzaabii+VII+Cnj+Pos+DubPrt+0SgSubj', 'gonzaabii+VII+Ind+Pos+DubPrt+0PlObvSubj', 'gonzaabii+VII+Ind+Pos+DubPrt+0PlSubj']"
michaagobanen,"['michaa+VII+Cnj+Pos+DubPrt+0PlSubj', 'michaa+VII+Cnj+Pos+DubPrt+0SgSubj', 'michaa+VII+Ind+Pos+DubPrt+0PlObvSubj', 'michaa+VII+Ind+Pos+DubPrt+0PlSubj']"
atemagasininig,"['ate+VII+Aug/magad+VII+Cnj+Neg+Neu+0PlObvSubj', 'atemagad+VII+Cnj+Neg+Neu+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+Neu+0SgObvSubj', 'atemagad+VII+Cnj+Neg+Neu+0SgObvSubj']"
zanagasininig,"['zanagad+VII+Cnj+Neg+Neu+0PlObvSubj', 'zanagad+VII+Cnj+Neg+Neu+0SgObvSubj']"
bangisinzininig,"['bangisin+VII+Cnj+Neg+Neu+0PlObvSubj', 'bangisin+VII+Cnj+Neg+Neu+0SgObvSubj']"
dakaagamisininig,"['dakaagamisin+VII+Cnj+Pos+Neu+0PlObvSubj', 'dakaagamisin+VII+Cnj+Pos+Neu+0SgObvSubj']"
atesininig,"['ate+VII+Cnj+Neg+Neu+0PlObvSubj', 'ate+VII+Cnj+Neg+Neu+0SgObvSubj']"
gonzaabiisininig,"['gonzaabii+VII+Cnj+Neg+Neu+0PlObvSubj', 'gonzaabii+VII+Cnj+Neg+Neu+0SgObvSubj']"
michaasininig,"['michaa+VII+Cnj+Neg+Neu+0PlObvSubj', 'michaa+VII+Cnj+Neg+Neu+0SgObvSubj']"
atemagasinok,"['ate+VII+Aug/magad+VII+Cnj+Neg+Neu+0PlSubj', 'atemagad+VII+Cnj+Neg+Neu+0PlSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+Neu+0SgSubj', 'atemagad+VII+Cnj+Neg+Neu+0SgSubj']"
zanagasinok,"['zanagad+VII+Cnj+Neg+Neu+0PlSubj', 'zanagad+VII+Cnj+Neg+Neu+0SgSubj']"
bangisinzinok,"['bangisin+VII+Cnj+Neg+Neu+0PlSubj', 'bangisin+VII+Cnj+Neg+Neu+0SgSubj']"
dakaagamisinok,"['dakaagamin+VII+Cnj+Neg+Neu+0PlSubj', 'dakaagami+VII+Cnj+Neg+Neu+0PlSubj', 'dakaagamin+VII+Cnj+Neg+Neu+0SgSubj', 'dakaagami+VII+Cnj+Neg+Neu+0SgSubj']"
inamosinok,"['inamon+VII+Cnj+Neg+Neu+0PlSubj', 'inamo+VII+Cnj+Neg+Neu+0PlSubj', 'inamon+VII+Cnj+Neg+Neu+0SgSubj', 'inamo+VII+Cnj+Neg+Neu+0SgSubj']"
atesinok,"['ate+VII+Cnj+Neg+Neu+0PlSubj', 'ate+VII+Cnj+Neg+Neu+0SgSubj']"
gonzaabiisinok,"['gonzaabii+VII+Cnj+Neg+Neu+0PlSubj', 'gonzaabii+VII+Cnj+Neg+Neu+0SgSubj']"
michaasinok,"['michaa+VII+Cnj+Neg+Neu+0PlSubj', 'michaa+VII+Cnj+Neg+Neu+0SgSubj']"
atemagadininig,"['ate+VII+Aug/magad+VII+Cnj+Pos+Neu+0PlObvSubj', 'atemagad+VII+Cnj+Pos+Neu+0PlObvSubj']"
atemagakin,"['ate+VII+Aug/magad+VII+Cnj+Pos+Neu+0PlSubj', 'atemagad+VII+Cnj+Pos+Neu+0PlSubj']"
dakaagamigin,"['dakaagamin+VII+Cnj+Pos+Neu+0PlSubj', 'dakaagami+VII+Cnj+Pos+Neu+0PlSubj']"
inamogin,"['inamon+VII+Cnj+Pos+Neu+0PlSubj', 'inamo+VII+Cnj+Pos+Neu+0PlSubj']"
atemagadinig,"['ate+VII+Aug/magad+VII+Cnj+Pos+Neu+0PlObvSubj', 'atemagad+VII+Cnj+Pos+Neu+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+Neu+0SgObvSubj', 'atemagad+VII+Cnj+Pos+Neu+0SgObvSubj']"
zanagadinig,"['zanagad+VII+Cnj+Pos+Neu+0PlObvSubj', 'zanagad+VII+Cnj+Pos+Neu+0SgObvSubj']"
bangisininig,"['bangisin+VII+Cnj+Pos+Neu+0PlObvSubj', 'bangisin+VII+Cnj+Pos+Neu+0SgObvSubj']"
atenig,"['ate+VII+Cnj+Pos+Neu+0PlObvSubj', 'ate+VII+Cnj+Pos+Neu+0SgObvSubj']"
gonzaabiinig,"['gonzaabii+VII+Cnj+Pos+Neu+0PlObvSubj', 'gonzaabii+VII+Cnj+Pos+Neu+0SgObvSubj']"
michaanig,"['michaa+VII+Cnj+Pos+Neu+0PlObvSubj', 'michaa+VII+Cnj+Pos+Neu+0SgObvSubj']"
atemagak,"['ate+VII+Aug/magad+VII+Cnj+Pos+Neu+0SgSubj', 'atemagad+VII+Cnj+Pos+Neu+0SgSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+Neu+0PlSubj', 'atemagad+VII+Cnj+Pos+Neu+0PlSubj']"
zanagak,"['zanagad+VII+Cnj+Pos+Neu+0SgSubj', 'zanagad+VII+Cnj+Pos+Neu+0PlSubj']"
bangising,"['bangisin+VII+Cnj+Pos+Neu+0SgSubj', 'bangisin+VII+Cnj+Pos+Neu+0PlSubj']"
dakaagamig,"['dakaagamin+VII+Cnj+Pos+Neu+0SgSubj', 'dakaagami+VII+Cnj+Pos+Neu+0SgSubj', 'dakaagamin+VII+Cnj+Pos+Neu+0PlSubj', 'dakaagami+VII+Cnj+Pos+Neu+0PlSubj']"
inamog,"['amwi+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj', 'amo+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj', 'inamon+VII+Cnj+Pos+Neu+0SgSubj', 'inamo+VII+Cnj+Pos+Neu+0SgSubj', 'inamon+VII+Cnj+Pos+Neu+0PlSubj', 'inamo+VII+Cnj+Pos+Neu+0PlSubj']"
ateg,"['ate+VII+Cnj+Pos+Neu+0SgSubj', 'ate+VII+Cnj+Pos+Neu+0PlSubj']"
