wordform,fst_analyses
atemagasininiwidogenan,"['ate+VII+Aug/magad+VII+Ind+Neg+Dub+0PlObvSubj', 'atemagad+VII+Ind+Neg+Dub+0PlObvSubj']"
atemagasinodogenan,"['ate+VII+Aug/magad+VII+Ind+Neg+Dub+0PlSubj', 'atemagad+VII+Ind+Neg+Dub+0PlSubj']"
atemagasininiwidog,"['ate+VII+Aug/magad+VII+Ind+Neg+Dub+0SgObvSubj', 'atemagad+VII+Ind+Neg+Dub+0SgObvSubj']"
atemagasinodog,"['ate+VII+Aug/magad+VII+Ind+Neg+Dub+0SgSubj', 'atemagad+VII+Ind+Neg+Dub+0SgSubj']"
atemagadiniwidogenan,"['ate+VII+Aug/magad+VII+Ind+Pos+Dub+0PlObvSubj', 'atemagad+VII+Ind+Pos+Dub+0PlObvSubj']"
atemagadodogenan,"['ate+VII+Aug/magad+VII+Ind+Pos+Dub+0PlSubj', 'atemagad+VII+Ind+Pos+Dub+0PlSubj']"
gonzaabiidogenan,"['gonzaabii+VAI+Ind+Pos+Dub+3SgObvSubj', 'gonzaabii+VII+Ind+Pos+Dub+0PlSubj', 'gonzaabii+VAI+Ind+Pos+Dub+3PlObvSubj']"
atemagadiniwidog,"['ate+VII+Aug/magad+VII+Ind+Pos+Dub+0SgObvSubj', 'atemagad+VII+Ind+Pos+Dub+0SgObvSubj']"
atemagadodog,"['ate+VII+Aug/magad+VII+Ind+Pos+Dub+0SgSubj', 'atemagad+VII+Ind+Pos+Dub+0SgSubj']"
gonzaabiidog,"['gonzaabii+VAI+Ind+Pos+Dub+3SgProxSubj', 'gonzaabii+VII+Ind+Pos+Dub+0SgSubj']"
atemagasininigobaniin,"['ate+VII+Aug/magad+VII+Ind+Neg+DubPrt+0PlObvSubj', 'atemagad+VII+Ind+Neg+DubPrt+0PlObvSubj']"
atemagasinoogobaniin,"['ate+VII+Aug/magad+VII+Ind+Neg+DubPrt+0PlSubj', 'atemagad+VII+Ind+Neg+DubPrt+0PlSubj']"
atemagasininigoban,"['ate+VII+Aug/magad+VII+Ind+Neg+DubPrt+0SgObvSubj', 'atemagad+VII+Ind+Neg+DubPrt+0SgObvSubj']"
atemagasinoogoban,"['ate+VII+Aug/magad+VII+Ind+Neg+DubPrt+0SgSubj', 'atemagad+VII+Ind+Neg+DubPrt+0SgSubj']"
atemagadinigobaniin,"['ate+VII+Aug/magad+VII+Ind+Pos+DubPrt+0PlObvSubj', 'atemagad+VII+Ind+Pos+DubPrt+0PlObvSubj']"
atemagadogobaniin,"['ate+VII+Aug/magad+VII+Ind+Pos+DubPrt+0PlSubj', 'atemagad+VII+Ind+Pos+DubPrt+0PlSubj']"
atemagadinigoban,"['ate+VII+Aug/magad+VII+Ind+Pos+DubPrt+0SgObvSubj', 'atemagad+VII+Ind+Pos+DubPrt+0SgObvSubj']"
gonzaabiinigoban,"['gonzaabii+VII+Ind+Pos+DubPrt+0SgObvSubj', 'gonzaabii+VAI+Ind+Pos+DubPrt+3SgObvSubj']"
atemagadogoban,"['ate+VII+Aug/magad+VII+Ind+Pos+DubPrt+0SgSubj', 'atemagad+VII+Ind+Pos+DubPrt+0SgSubj']"
gonzaabiigoban,"['gonzaabii+VAI+Ind+Pos+DubPrt+3SgProxSubj', 'gonzaabii+VII+Ind+Pos+DubPrt+0SgSubj']"
