wordform,fst_analyses
etemagasinoogwenan,"['ate+VII+Aug/magad+VII+Pcp+Neg+Dub+0PlSubj+0PlHead', 'atemagad+VII+Pcp+Neg+Dub+0PlSubj+0PlHead']"
etemagasininiigwenan,"['ate+VII+Aug/magad+VII+Pcp+Neg+Dub+0PlObvSubj+0PlObvHead', 'atemagad+VII+Pcp+Neg+Dub+0PlObvSubj+0PlObvHead']"
etemagasinoogwen,"['ate+VII+Aug/magad+VII+Pcp+Neg+Dub+0SgSubj+0SgHead', 'atemagad+VII+Pcp+Neg+Dub+0SgSubj+0SgHead']"
etemagasininiigwen,"['ate+VII+Aug/magad+VII+Pcp+Neg+Dub+0SgObvSubj+0SgObvHead', 'atemagad+VII+Pcp+Neg+Dub+0SgObvSubj+0SgObvHead']"
etemagadogwenan,"['ate+VII+Aug/magad+VII+Pcp+Pos+Dub+0PlSubj+0PlHead', 'atemagad+VII+Pcp+Pos+Dub+0PlSubj+0PlHead']"
etemagadinigwenan,"['ate+VII+Aug/magad+VII+Pcp+Pos+Dub+0PlObvSubj+0PlObvHead', 'atemagad+VII+Pcp+Pos+Dub+0PlObvSubj+0PlObvHead']"
gwenzaabiinigwenan,"['gonzaabii+VAI+Pcp+Pos+Dub+3PlObvSubj+3PlObvHead', 'gonzaabii+VAI+Pcp+Pos+Dub+3SgObvSubj+3SgObvHead', 'gonzaabii+VII+Pcp+Pos+Dub+0PlObvSubj+0PlObvHead']"
etemagadogwen,"['ate+VII+Aug/magad+VII+Pcp+Pos+Dub+0SgSubj+0SgHead', 'atemagad+VII+Pcp+Pos+Dub+0SgSubj+0SgHead']"
gwenzaabiigwen,"['gonzaabii+VII+Pcp+Pos+Dub+0SgSubj+0SgHead', 'gonzaabii+VAI+Pcp+Pos+Dub+3SgProxSubj+3SgProxHead']"
etemagadinigwen,"['ate+VII+Aug/magad+VII+Pcp+Pos+Dub+0SgObvSubj+0SgObvHead', 'atemagad+VII+Pcp+Pos+Dub+0SgObvSubj+0SgObvHead']"
etemagasinoogobanenan,"['ate+VII+Aug/magad+VII+Pcp+Neg+DubPrt+0PlSubj+0PlHead', 'atemagad+VII+Pcp+Neg+DubPrt+0PlSubj+0PlHead']"
etemagasininigobanenan,"['ate+VII+Aug/magad+VII+Pcp+Neg+DubPrt+0PlObvSubj+0PlObvHead', 'atemagad+VII+Pcp+Neg+DubPrt+0PlObvSubj+0PlObvHead']"
etemagasinoogobanen,"['ate+VII+Aug/magad+VII+Pcp+Neg+DubPrt+0SgSubj+0SgHead', 'atemagad+VII+Pcp+Neg+DubPrt+0SgSubj+0SgHead']"
etemagasininigobanen,"['ate+VII+Aug/magad+VII+Pcp+Neg+DubPrt+0SgObvSubj+0SgObvHead', 'atemagad+VII+Pcp+Neg+DubPrt+0SgObvSubj+0SgObvHead']"
etemagadogobanenan,"['ate+VII+Aug/magad+VII+Pcp+Pos+DubPrt+0PlSubj+0PlHead', 'atemagad+VII+Pcp+Pos+DubPrt+0PlSubj+0PlHead']"
etemagadinigobanenan,"['ate+VII+Aug/magad+VII+Pcp+Pos+DubPrt+0PlObvSubj+0PlObvHead', 'atemagad+VII+Pcp+Pos+DubPrt+0PlObvSubj+0PlObvHead']"
gwenzaabiinigobanenan,"['gonzaabii+VAI+Pcp+Pos+DubPrt+3PlObvSubj+3PlObvHead', 'gonzaabii+VAI+Pcp+Pos+DubPrt+3SgObvSubj+3SgObvHead', 'gonzaabii+VII+Pcp+Pos+DubPrt+0PlObvSubj+0PlObvHead']"
etemagadogobanen,"['ate+VII+Aug/magad+VII+Pcp+Pos+DubPrt+0SgSubj+0SgHead', 'atemagad+VII+Pcp+Pos+DubPrt+0SgSubj+0SgHead']"
gwenzaabiigobanen,"['gonzaabii+VAI+Pcp+Pos+DubPrt+3SgProxSubj+3SgProxHead', 'gonzaabii+VII+Pcp+Pos+DubPrt+0SgSubj+0SgHead']"
etemagadinigobanen,"['ate+VII+Aug/magad+VII+Pcp+Pos+DubPrt+0SgObvSubj+0SgObvHead', 'atemagad+VII+Pcp+Pos+DubPrt+0SgObvSubj+0SgObvHead']"
etemagasinogin,"['ate+VII+Aug/magad+VII+Pcp+Neg+Neu+0PlSubj+0PlHead', 'atemagad+VII+Pcp+Neg+Neu+0PlSubj+0PlHead']"
dekaagamisinogin,"['dakaagamin+VII+Pcp+Neg+Neu+0PlSubj+0PlHead', 'dakaagami+VII+Pcp+Neg+Neu+0PlSubj+0PlHead']"
enamosinogin,"['inamon+VII+Pcp+Neg+Neu+0PlSubj+0PlHead', 'inamo+VII+Pcp+Neg+Neu+0PlSubj+0PlHead']"
etemagasininijin,"['ate+VII+Aug/magad+VII+Pcp+Neg+Neu+0PlObvSubj+0PlObvHead', 'atemagad+VII+Pcp+Neg+Neu+0PlObvSubj+0PlObvHead']"
etemagasinog,"['ate+VII+Aug/magad+VII+Pcp+Neg+Neu+0SgSubj+0SgHead', 'atemagad+VII+Pcp+Neg+Neu+0SgSubj+0SgHead']"
dekaagamisinog,"['dakaagamin+VII+Pcp+Neg+Neu+0SgSubj+0SgHead', 'dakaagami+VII+Pcp+Neg+Neu+0SgSubj+0SgHead']"
enamosinog,"['inamon+VII+Pcp+Neg+Neu+0SgSubj+0SgHead', 'inamo+VII+Pcp+Neg+Neu+0SgSubj+0SgHead']"
etemagasininig,"['ate+VII+Aug/magad+VII+Pcp+Neg+Neu+0SgObvSubj+0SgObvHead', 'atemagad+VII+Pcp+Neg+Neu+0SgObvSubj+0SgObvHead']"
etemagakin,"['ate+VII+Aug/magad+VII+Pcp+Pos+Neu+0PlSubj+0PlHead', 'atemagad+VII+Pcp+Pos+Neu+0PlSubj+0PlHead']"
dekaagamigin,"['dakaagamin+VII+Pcp+Pos+Neu+0PlSubj+0PlHead', 'dakaagami+VII+Pcp+Pos+Neu+0PlSubj+0PlHead']"
enamogin,"['inamon+VII+Pcp+Pos+Neu+0PlSubj+0PlHead', 'inamo+VII+Pcp+Pos+Neu+0PlSubj+0PlHead']"
etemagadinijin,"['ate+VII+Aug/magad+VII+Pcp+Pos+Neu+0PlObvSubj+0PlObvHead', 'atemagad+VII+Pcp+Pos+Neu+0PlObvSubj+0PlObvHead']"
gwenzaabiinijin,"['gonzaabii+VAI+Pcp+Pos+Neu+3SgObvSubj+3SgObvHead', 'gonzaabii+VAI+Pcp+Pos+Neu+3PlObvSubj+3PlObvHead', 'gonzaabii+VII+Pcp+Pos+Neu+0PlObvSubj+0PlObvHead']"
etemagak,"['ate+VII+Aug/magad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'atemagad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']"
dekaagamig,"['dakaagamin+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'dakaagami+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']"
enamog,"['inamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'inamo+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']"
etemagadinig,"['ate+VII+Aug/magad+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead', 'atemagad+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead']"
etemagasinoogibaniin,"['ate+VII+Aug/magad+VII+Pcp+Neg+Prt+0PlSubj+0PlHead', 'atemagad+VII+Pcp+Neg+Prt+0PlSubj+0PlHead']"
etemagasininigibaniin,"['ate+VII+Aug/magad+VII+Pcp+Neg+Prt+0PlObvSubj+0PlObvHead', 'atemagad+VII+Pcp+Neg+Prt+0PlObvSubj+0PlObvHead']"
etemagasinoogiban,"['ate+VII+Aug/magad+VII+Pcp+Neg+Prt+0SgSubj+0SgHead', 'atemagad+VII+Pcp+Neg+Prt+0SgSubj+0SgHead']"
etemagasininigiban,"['ate+VII+Aug/magad+VII+Pcp+Neg+Prt+0SgObvSubj+0SgObvHead', 'atemagad+VII+Pcp+Neg+Prt+0SgObvSubj+0SgObvHead']"
