wordform,fst_analyses
mawadisigosiiwaanen,"['mawadish+VTA+Cnj+Neg+Dub+0PlSubj+1SgObj', 'mawadish+VTA+Cnj+Neg+Dub+0SgSubj+1SgObj']"
miinigosiiwaanen,"['miizh+VTA+Cnj+Neg+Dub+0PlSubj+1SgObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+1SgObj']"
mikaagosiiwaanen,"['mikaw+VTA+Cnj+Neg+Dub+0PlSubj+1SgObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+1SgObj']"
mizhogosiiwaanen,"['mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+1SgObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+1SgObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+1SgObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+1SgObj']"
waabamigosiiwaanen,"['waabam+VTA+Cnj+Neg+Dub+0PlSubj+1SgObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+1SgObj']"
mawadisigowaanen,"['mawadish+VTA+Cnj+Pos+Dub+0PlSubj+1SgObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+1SgObj']"
miinigowaanen,"['miizh+VTA+Cnj+Pos+Dub+0PlSubj+1SgObj', 'miizh+VTA+Cnj+Pos+Dub+0SgSubj+1SgObj']"
mikaagowaanen,"['mikaw+VTA+Cnj+Pos+Dub+0PlSubj+1SgObj', 'mikaw+VTA+Cnj+Pos+Dub+0SgSubj+1SgObj']"
mizhogowaanen,"['mizhwi+VTA+Cnj+Pos+Dub+0PlSubj+1SgObj', 'mizho+VTA+Cnj+Pos+Dub+0PlSubj+1SgObj', 'mizhwi+VTA+Cnj+Pos+Dub+0SgSubj+1SgObj', 'mizho+VTA+Cnj+Pos+Dub+0SgSubj+1SgObj']"
waabamigowaanen,"['waabam+VTA+Cnj+Pos+Dub+0PlSubj+1SgObj', 'waabam+VTA+Cnj+Pos+Dub+0SgSubj+1SgObj']"
mawadisigosiiwegwen,"['mawadish+VTA+Cnj+Neg+Dub+0PlSubj+2PlObj', 'mawadish+VTA+Cnj+Neg+Dub+0SgSubj+2PlObj']"
miinigosiiwegwen,"['miizh+VTA+Cnj+Neg+Dub+0PlSubj+2PlObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+2PlObj']"
mikaagosiiwegwen,"['mikaw+VTA+Cnj+Neg+Dub+0PlSubj+2PlObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+2PlObj']"
mizhogosiiwegwen,"['mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+2PlObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+2PlObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+2PlObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+2PlObj']"
waabamigosiiwegwen,"['waabam+VTA+Cnj+Neg+Dub+0PlSubj+2PlObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+2PlObj']"
mawadisigowegwen,"['mawadish+VTA+Cnj+Pos+Dub+0PlSubj+2PlObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+2PlObj']"
