wordform,fst_analyses
ganawaabamimaakeg,"['ganawaabam+VTA+Imp+Del+2PlSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Del+2PlSubj+3SgObvObj']"
ganawaabamimaakegon,"['ganawaabam+VTA+Imp+Prb+2PlSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Prb+2PlSubj+3SgObvObj']"
ganawaabamim,"['ganawaabam+VTA+Imp+Sim+2SgSubj+3SgObvObj', 'ganawaabam+VTA+Imp+Sim+2PlSubj+3SgObvObj', 'ganawaabam+VTA+Imp+Sim+2SgSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Sim+2PlSubj+3PlObvObj']"
ganawaabamaakeg,"['ganawaabam+VTA+Imp+Del+2PlSubj+3SgProxObj', 'ganawaabam+VTA+Imp+Del+2PlSubj+3PlProxObj']"
ganawaabamaakegon,"['ganawaabam+VTA+Imp+Prb+2PlSubj+3SgProxObj', 'ganawaabam+VTA+Imp+Prb+2PlSubj+3PlProxObj']"
ganawaabamik,"['ganawaabam+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj', 'ganawaabam+VTA+Imp+Sim+2PlSubj+3SgProxObj', 'ganawaabam+VTA+Imp+Sim+2PlSubj+3PlProxObj']"
ganawaabamishinaakaam,"['ganawaabam+VTA+Imp+Del+2SgSubj+ExclObj', 'ganawaabam+VTA+Imp+Prb+2PlSubj+ExclObj', 'ganawaabam+VTA+Imp+Prb+2SgSubj+ExclObj', 'ganawaabam+VTA+Imp+Del+2PlSubj+ExclObj']"
ganawaabamishinaam,"['ganawaabam+VTA+Imp+Sim+2SgSubj+ExclObj', 'ganawaabam+VTA+Imp+Sim+2PlSubj+ExclObj']"
ganawaabamimaakan,"['ganawaabam+VTA+Imp+Del+2SgSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Del+2SgSubj+3SgObvObj']"
ganawaabamimaaken,"['ganawaabam+VTA+Imp+Prb+2SgSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Prb+2SgSubj+3SgObvObj']"
ganawaabamaakan,"['ganawaabam+VTA+Imp+Del+2SgSubj+3PlProxObj', 'ganawaabam+VTA+Imp+Del+2SgSubj+3SgProxObj']"
ganawaabamaaken,"['ganawaabam+VTA+Imp+Prb+2SgSubj+3PlProxObj', 'ganawaabam+VTA+Imp+Prb+2SgSubj+3SgProxObj']"
ganawaabam,"['ganawaabam+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'ganawaabam+VTA+Imp+Sim+2SgSubj+3PlProxObj']"
ganawaabamimaakang,"['ganawaabam+VTA+Imp+Del+InclSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Del+InclSubj+3SgObvObj']"
ganawaabamaasiwaadaa,"['ganawaabam+VTA+Imp+Prb+InclSubj+3SgProxObj', 'ganawaabam+VTA+Imp+Prb+InclSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Prb+InclSubj+3SgObvObj']"
ganawaabamaadaa,"['ganawaabam+VTA+Imp+Sim+InclSubj+3PlObvObj', 'ganawaabam+VTA+Imp+Sim+InclSubj+3SgObvObj', 'ganawaabam+VTA+Imp+Sim+InclSubj+3SgProxObj']"
ganawaabamaakang,"['ganawaabam+VTA+Imp+Del+2PlSubj+3PlProxObj', 'ganawaabam+VTA+Imp+Del+InclSubj+3PlProxObj', 'ganawaabam+VTA+Imp+Del+2PlSubj+3SgProxObj', 'ganawaabam+VTA+Imp+Del+InclSubj+3SgProxObj']"
mizhoshiiyok,"['mizhwi+VTA+Imp+Del+2PlSubj+1SgObj', 'mizho+VTA+Imp+Del+2PlSubj+1SgObj']"
mizhoshikegon,"['mizhwi+VTA+Imp+Prb+2PlSubj+1SgObj', 'mizho+VTA+Imp+Prb+2PlSubj+1SgObj']"
mizhoyok,"['mizhwi+VTA+Imp+Sim+2PlSubj+1SgObj', 'mizho+VTA+Imp+Sim+2PlSubj+1SgObj']"
mizhomaakeg,"['mizhwi+VTA+Imp+Del+2PlSubj+3PlObvObj', 'mizho+VTA+Imp+Del+2PlSubj+3PlObvObj', 'mizhwi+VTA+Imp+Del+2PlSubj+3SgObvObj', 'mizho+VTA+Imp+Del+2PlSubj+3SgObvObj']"
mizhomaakegon,"['mizhwi+VTA+Imp+Prb+2PlSubj+3PlObvObj', 'mizho+VTA+Imp+Prb+2PlSubj+3PlObvObj', 'mizhwi+VTA+Imp+Prb+2PlSubj+3SgObvObj', 'mizho+VTA+Imp+Prb+2PlSubj+3SgObvObj']"
mizhom,"['mizhwi+VTA+Imp+Sim+2SgSubj+3SgObvObj', 'mizho+VTA+Imp+Sim+2SgSubj+3SgObvObj', 'mizhwi+VTA+Imp+Sim+2PlSubj+3SgObvObj', 'mizho+VTA+Imp+Sim+2PlSubj+3SgObvObj', 'mizhwi+VTA+Imp+Sim+2SgSubj+3PlObvObj', 'mizho+VTA+Imp+Sim+2SgSubj+3PlObvObj', 'mizhwi+VTA+Imp+Sim+2PlSubj+3PlObvObj', 'mizho+VTA+Imp+Sim+2PlSubj+3PlObvObj']"
mizhwaakeg,"['mizhwi+VTA+Imp+Del+2PlSubj+3SgProxObj', 'mizho+VTA+Imp+Del+2PlSubj+3SgProxObj', 'mizhwi+VTA+Imp+Del+2PlSubj+3PlProxObj', 'mizho+VTA+Imp+Del+2PlSubj+3PlProxObj']"
mizhwaakegon,"['mizhwi+VTA+Imp+Prb+2PlSubj+3SgProxObj', 'mizho+VTA+Imp+Prb+2PlSubj+3SgProxObj', 'mizhwi+VTA+Imp+Prb+2PlSubj+3PlProxObj', 'mizho+VTA+Imp+Prb+2PlSubj+3PlProxObj']"
mizhok,"['mizhwi+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj', 'mizho+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj', 'mizhwi+VTA+Imp+Sim+2PlSubj+3SgProxObj', 'mizho+VTA+Imp+Sim+2PlSubj+3SgProxObj', 'mizhwi+VTA+Imp+Sim+2PlSubj+3PlProxObj', 'mizho+VTA+Imp+Sim+2PlSubj+3PlProxObj']"
mizhoshinaakaam,"['mizhwi+VTA+Imp+Prb+2PlSubj+ExclObj', 'mizho+VTA+Imp+Prb+2PlSubj+ExclObj', 'mizhwi+VTA+Imp+Prb+2SgSubj+ExclObj', 'mizho+VTA+Imp+Prb+2SgSubj+ExclObj', 'mizhwi+VTA+Imp+Del+2PlSubj+ExclObj', 'mizho+VTA+Imp+Del+2PlSubj+ExclObj', 'mizhwi+VTA+Imp+Del+2SgSubj+ExclObj', 'mizho+VTA+Imp+Del+2SgSubj+ExclObj']"
mizhoshinaam,"['mizhwi+VTA+Imp+Sim+2PlSubj+ExclObj', 'mizho+VTA+Imp+Sim+2PlSubj+ExclObj', 'mizhwi+VTA+Imp+Sim+2SgSubj+ExclObj', 'mizho+VTA+Imp+Sim+2SgSubj+ExclObj']"
mizhoshiikan,"['mizhwi+VTA+Imp+Del+2SgSubj+1SgObj', 'mizho+VTA+Imp+Del+2SgSubj+1SgObj']"
mizhoshiken,"['mizhwi+VTA+Imp+Prb+2SgSubj+1SgObj', 'mizho+VTA+Imp+Prb+2SgSubj+1SgObj']"
mizhoshin,"['mizhwi+VTA+Imp+Sim+2SgSubj+1SgObj', 'mizho+VTA+Imp+Sim+2SgSubj+1SgObj']"
mizhomaakan,"['mizhwi+VTA+Imp+Del+2SgSubj+3PlObvObj', 'mizho+VTA+Imp+Del+2SgSubj+3PlObvObj', 'mizhwi+VTA+Imp+Del+2SgSubj+3SgObvObj', 'mizho+VTA+Imp+Del+2SgSubj+3SgObvObj']"
mizhomaaken,"['mizhwi+VTA+Imp+Prb+2SgSubj+3PlObvObj', 'mizho+VTA+Imp+Prb+2SgSubj+3PlObvObj', 'mizhwi+VTA+Imp+Prb+2SgSubj+3SgObvObj', 'mizho+VTA+Imp+Prb+2SgSubj+3SgObvObj']"
mizhwaakan,"['mizhwi+VTA+Imp+Del+2SgSubj+3PlProxObj', 'mizho+VTA+Imp+Del+2SgSubj+3PlProxObj', 'mizhwi+VTA+Imp+Del+2SgSubj+3SgProxObj', 'mizho+VTA+Imp+Del+2SgSubj+3SgProxObj']"
mizhwaaken,"['mizhwi+VTA+Imp+Prb+2SgSubj+3PlProxObj', 'mizho+VTA+Imp+Prb+2SgSubj+3PlProxObj', 'mizhwi+VTA+Imp+Prb+2SgSubj+3SgProxObj', 'mizho+VTA+Imp+Prb+2SgSubj+3SgProxObj']"
mizhwi,"['mizhwi+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'mizho+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'mizhwi+VTA+Imp+Sim+2SgSubj+3PlProxObj', 'mizho+VTA+Imp+Sim+2SgSubj+3PlProxObj']"
mizhomaakang,"['mizhwi+VTA+Imp+Del+InclSubj+3PlObvObj', 'mizho+VTA+Imp+Del+InclSubj+3PlObvObj', 'mizhwi+VTA+Imp+Del+InclSubj+3SgObvObj', 'mizho+VTA+Imp+Del+InclSubj+3SgObvObj']"
mizhwaasiwaadaa,"['mizhwi+VTA+Imp+Prb+InclSubj+3PlObvObj', 'mizho+VTA+Imp+Prb+InclSubj+3PlObvObj', 'mizhwi+VTA+Imp+Prb+InclSubj+3SgProxObj', 'mizho+VTA+Imp+Prb+InclSubj+3SgProxObj', 'mizhwi+VTA+Imp+Prb+InclSubj+3SgObvObj', 'mizho+VTA+Imp+Prb+InclSubj+3SgObvObj']"
