,wordform,fst_analyses
0,nimizhogosiinaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+0PlSubj+1SgObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+1SgObj']"
1,gimizhogosiinaawaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+0PlSubj+2PlObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+2PlObj']"
2,gimizhogosiinaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+0PlSubj+2SgObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+2SgObj']"
3,omikaagosiinaadogenan,"['mikaw+VTA+Ind+Neg+Dub+0PlSubj+3SgProxObj', 'mikaw+VTA+Ind+Neg+Dub+0PlSubj+3PlObvObj', 'mikaw+VTA+Ind+Neg+Dub+0PlSubj+3SgObvObj']"
4,owaabamigosiinaadogenan,"['waabam+VTA+Ind+Neg+Dub+0PlSubj+3SgProxObj', 'waabam+VTA+Ind+Neg+Dub+0PlSubj+3PlObvObj', 'waabam+VTA+Ind+Neg+Dub+0PlSubj+3SgObvObj']"
5,omizhogosiinaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+0PlSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+3SgProxObj', 'mizhwi+VTA+Ind+Neg+Dub+0PlSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+3PlObvObj', 'mizhwi+VTA+Ind+Neg+Dub+0PlSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+3SgObvObj']"
6,omiinigosiinaadogenan,"['miizh+VTA+Ind+Neg+Dub+0PlSubj+3SgProxObj', 'miizh+VTA+Ind+Neg+Dub+0PlSubj+3PlObvObj', 'miizh+VTA+Ind+Neg+Dub+0PlSubj+3SgObvObj']"
7,omawadisigosiinaadogenan,"['mawadish+VTA+Ind+Neg+Dub+0PlSubj+3SgProxObj', 'mawadish+VTA+Ind+Neg+Dub+0PlSubj+3PlObvObj', 'mawadish+VTA+Ind+Neg+Dub+0PlSubj+3SgObvObj']"
8,omizhogosiinaawaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+0PlSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+3PlProxObj']"
9,nimizhogosiiminaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+0PlSubj+ExclObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+ExclObj']"
10,gimizhogosiiminaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+0PlSubj+InclObj', 'mizho+VTA+Ind+Neg+Dub+0PlSubj+InclObj']"
11,nimikaagosiinaadog,"['mikaw+VTA+Ind+Neg+Dub+3SgProxSubj+ExclObj', 'mikaw+VTA+Ind+Neg+Dub+0SgSubj+1SgObj']"
12,niwaabamigosiinaadog,"['waabam+VTA+Ind+Neg+Dub+3SgProxSubj+ExclObj', 'waabam+VTA+Ind+Neg+Dub+0SgSubj+1SgObj']"
13,nimizhogosiinaadog,"['mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+ExclObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+ExclObj', 'mizhwi+VTA+Ind+Neg+Dub+0SgSubj+1SgObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+1SgObj']"
14,nimiinigosiinaadog,"['miizh+VTA+Ind+Neg+Dub+3SgProxSubj+ExclObj', 'miizh+VTA+Ind+Neg+Dub+0SgSubj+1SgObj']"
15,nimawadisigosiinaadog,"['mawadish+VTA+Ind+Neg+Dub+3SgProxSubj+ExclObj', 'mawadish+VTA+Ind+Neg+Dub+0SgSubj+1SgObj']"
16,gimizhogosiinaawaadog,"['mizhwi+VTA+Ind+Neg+Dub+0SgSubj+2PlObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+2PlObj']"
17,gimikaagosiinaadog,"['mikaw+VTA+Ind+Neg+Dub+3SgProxSubj+InclObj', 'mikaw+VTA+Ind+Neg+Dub+0SgSubj+2SgObj']"
18,giwaabamigosiinaadog,"['waabam+VTA+Ind+Neg+Dub+3SgProxSubj+InclObj', 'waabam+VTA+Ind+Neg+Dub+0SgSubj+2SgObj']"
19,gimizhogosiinaadog,"['mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+InclObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+InclObj', 'mizhwi+VTA+Ind+Neg+Dub+0SgSubj+2SgObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+2SgObj']"
20,gimiinigosiinaadog,"['miizh+VTA+Ind+Neg+Dub+3SgProxSubj+InclObj', 'miizh+VTA+Ind+Neg+Dub+0SgSubj+2SgObj']"
21,gimawadisigosiinaadog,"['mawadish+VTA+Ind+Neg+Dub+3SgProxSubj+InclObj', 'mawadish+VTA+Ind+Neg+Dub+0SgSubj+2SgObj']"
22,omikaagosiinaawaadog,"['mikaw+VTA+Ind+Neg+Dub+0SgSubj+3PlProxObj', 'mikaw+VTA+Ind+Neg+Dub+0SgSubj+3PlObvObj']"
23,owaabamigosiinaawaadog,"['waabam+VTA+Ind+Neg+Dub+0SgSubj+3PlProxObj', 'waabam+VTA+Ind+Neg+Dub+0SgSubj+3PlObvObj']"
24,omizhogosiinaawaadog,"['mizhwi+VTA+Ind+Neg+Dub+0SgSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+3PlProxObj', 'mizhwi+VTA+Ind+Neg+Dub+0SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+3PlObvObj']"
25,omiinigosiinaawaadog,"['miizh+VTA+Ind+Neg+Dub+0SgSubj+3PlProxObj', 'miizh+VTA+Ind+Neg+Dub+0SgSubj+3PlObvObj']"
26,omawadisigosiinaawaadog,"['mawadish+VTA+Ind+Neg+Dub+0SgSubj+3PlProxObj', 'mawadish+VTA+Ind+Neg+Dub+0SgSubj+3PlObvObj']"
27,omikaagosiinaadog,"['mikaw+VTA+Ind+Neg+Dub+0SgSubj+3SgProxObj', 'mikaw+VTA+Ind+Neg+Dub+0SgSubj+3SgObvObj']"
28,owaabamigosiinaadog,"['waabam+VTA+Ind+Neg+Dub+0SgSubj+3SgProxObj', 'waabam+VTA+Ind+Neg+Dub+0SgSubj+3SgObvObj']"
29,omizhogosiinaadog,"['mizhwi+VTA+Ind+Neg+Dub+0SgSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+3SgProxObj', 'mizhwi+VTA+Ind+Neg+Dub+0SgSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+3SgObvObj']"
30,omiinigosiinaadog,"['miizh+VTA+Ind+Neg+Dub+0SgSubj+3SgProxObj', 'miizh+VTA+Ind+Neg+Dub+0SgSubj+3SgObvObj']"
31,omawadisigosiinaadog,"['mawadish+VTA+Ind+Neg+Dub+0SgSubj+3SgProxObj', 'mawadish+VTA+Ind+Neg+Dub+0SgSubj+3SgObvObj']"
32,nimizhogosiiminaadog,"['mizhwi+VTA+Ind+Neg+Dub+0SgSubj+ExclObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+ExclObj']"
33,gimizhogosiiminaadog,"['mizhwi+VTA+Ind+Neg+Dub+0SgSubj+InclObj', 'mizho+VTA+Ind+Neg+Dub+0SgSubj+InclObj']"
34,gimizhosinooninimwaadog,"['mizhwi+VTA+Ind+Neg+Dub+1SgSubj+2PlObj', 'mizho+VTA+Ind+Neg+Dub+1SgSubj+2PlObj']"
35,gimizhosinooninaadog,"['mizhwi+VTA+Ind+Neg+Dub+1SgSubj+2SgObj', 'mizho+VTA+Ind+Neg+Dub+1SgSubj+2SgObj']"
36,nimizhomaasiidogena',"['mizhwi+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj']"
37,nimizhwaasiidogenag,"['mizhwi+VTA+Ind+Neg+Dub+1SgSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+1SgSubj+3PlProxObj']"
38,nimikawimaasiidogenan,"['mikaw+VTA+Ind+Neg+Dub+1SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj']"
39,niwaabamimaasiidogenan,"['waabam+VTA+Ind+Neg+Dub+1SgSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj']"
40,nimizhomaasiidogenan,"['mizhwi+VTA+Ind+Neg+Dub+1SgSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+1SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj']"
41,nimiinimaasiidogenan,"['miizh+VTA+Ind+Neg+Dub+1SgSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj']"
42,nimawadisimaasiidogenan,"['mawadish+VTA+Ind+Neg+Dub+1SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Dub+1SgSubj+3PlObvObj']"
43,nimizhwaasiidog,"['mizhwi+VTA+Ind+Neg+Dub+1SgSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+1SgSubj+3SgProxObj']"
44,gimikawisiimwaadog,"['mikaw+VTA+Ind+Neg+Dub+2PlSubj+1SgObj', 'mikawi+VAI+Ind+Neg+Dub+2PlSubj']"
45,gimizhosiimwaadog,"['mizhwi+VTA+Ind+Neg+Dub+2PlSubj+1SgObj', 'mizho+VTA+Ind+Neg+Dub+2PlSubj+1SgObj']"
46,gimizhomaasiwaawaadogena',"['mizhwi+VTA+Ind+Neg+Dub+2PlSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+2PlSubj+3PlObvObj']"
47,gimizhwaasiwaawaadogenag,"['mizhwi+VTA+Ind+Neg+Dub+2PlSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+2PlSubj+3PlProxObj']"
48,gimikawaasiwaawaadog,"['mikaw+VTA+Ind+Neg+Dub+2PlSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Dub+2PlSubj+3SgProxObj']"
49,giwaabamaasiwaawaadog,"['waabam+VTA+Ind+Neg+Dub+2PlSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Dub+2PlSubj+3SgProxObj']"
50,gimizhwaasiwaawaadog,"['mizhwi+VTA+Ind+Neg+Dub+2PlSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+2PlSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Dub+2PlSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+2PlSubj+3SgProxObj']"
51,gimiinaasiwaawaadog,"['miizh+VTA+Ind+Neg+Dub+2PlSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Dub+2PlSubj+3SgProxObj']"
52,gimawadisaasiwaawaadog,"['mawadish+VTA+Ind+Neg+Dub+2PlSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Dub+2PlSubj+3SgProxObj']"
53,gimikawisiinaamaadog,"['mikaw+VTA+Ind+Neg+Dub+2SgSubj+ExclObj', 'mikaw+VTA+Ind+Neg+Dub+2PlSubj+ExclObj']"
54,giwaabamisiinaamaadog,"['waabam+VTA+Ind+Neg+Dub+2SgSubj+ExclObj', 'waabam+VTA+Ind+Neg+Dub+2PlSubj+ExclObj']"
55,gimizhosiinaamaadog,"['mizhwi+VTA+Ind+Neg+Dub+2SgSubj+ExclObj', 'mizho+VTA+Ind+Neg+Dub+2SgSubj+ExclObj', 'mizhwi+VTA+Ind+Neg+Dub+2PlSubj+ExclObj', 'mizho+VTA+Ind+Neg+Dub+2PlSubj+ExclObj']"
56,gimiizhisiinaamaadog,"['miizh+VTA+Ind+Neg+Dub+2SgSubj+ExclObj', 'miizh+VTA+Ind+Neg+Dub+2PlSubj+ExclObj']"
57,gimawadishisiinaamaadog,"['mawadish+VTA+Ind+Neg+Dub+2SgSubj+ExclObj', 'mawadish+VTA+Ind+Neg+Dub+2PlSubj+ExclObj']"
58,gimikawisiinaadog,"['mikaw+VTA+Ind+Neg+Dub+2SgSubj+1SgObj', 'mikawi+VAI+Ind+Neg+Dub+2SgSubj']"
59,gimizhosiinaadog,"['mizhwi+VTA+Ind+Neg+Dub+2SgSubj+1SgObj', 'mizho+VTA+Ind+Neg+Dub+2SgSubj+1SgObj']"
60,gimizhomaasiidogena',"['mizhwi+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj']"
61,gimizhwaasiidogenag,"['mizhwi+VTA+Ind+Neg+Dub+2SgSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+2SgSubj+3PlProxObj']"
62,gimikawimaasiidogenan,"['mikaw+VTA+Ind+Neg+Dub+2SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj']"
63,giwaabamimaasiidogenan,"['waabam+VTA+Ind+Neg+Dub+2SgSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj']"
64,gimizhomaasiidogenan,"['mizhwi+VTA+Ind+Neg+Dub+2SgSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+2SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj']"
65,gimiinimaasiidogenan,"['miizh+VTA+Ind+Neg+Dub+2SgSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj']"
66,gimawadisimaasiidogenan,"['mawadish+VTA+Ind+Neg+Dub+2SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Dub+2SgSubj+3PlObvObj']"
67,gimizhwaasiidog,"['mizhwi+VTA+Ind+Neg+Dub+2SgSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+2SgSubj+3SgProxObj']"
68,omizhogosiiwaadogena',"['mizhwi+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj']"
69,omizhogosiidogena',"['mizhwi+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj']"
