wordform,fst_analyses
waabandanziiwaanen,"['waabandan+VTI+Cnj+Neg+Dub+1SgSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+1SgSubj+0SgObj']"
miijisiiwaanen,"['miijin+VTI+Cnj+Neg+Dub+1SgSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+1SgSubj+0SgObj']"
wanitoosiiwaanen,"['wanitoon+VTI+Cnj+Neg+Dub+1SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+1SgSubj+0SgObj']"
waabandanziiwegwen,"['waabandan+VTI+Cnj+Neg+Dub+2PlSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+2PlSubj+0SgObj']"
miijisiiwegwen,"['miijin+VTI+Cnj+Neg+Dub+2PlSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+2PlSubj+0SgObj']"
wanitoosiiwegwen,"['wanitoon+VTI+Cnj+Neg+Dub+2PlSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+2PlSubj+0SgObj']"
waabandanziiwanen,"['waabandan+VTI+Cnj+Neg+Dub+2SgSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+2SgSubj+0SgObj']"
miijisiiwanen,"['miijin+VTI+Cnj+Neg+Dub+2SgSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+2SgSubj+0SgObj']"
wanitoosiiwanen,"['wanitoon+VTI+Cnj+Neg+Dub+2SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+2SgSubj+0SgObj']"
waabandanziinigwen,"['waabandan+VTI+Cnj+Neg+Dub+3PlObvSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+3SgObvSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+3PlObvSubj+0SgObj', 'waabandan+VTI+Cnj+Neg+Dub+3SgObvSubj+0SgObj']"
miijisiinigwen,"['miijin+VTI+Cnj+Neg+Dub+3PlObvSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+3SgObvSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+3PlObvSubj+0SgObj', 'miijin+VTI+Cnj+Neg+Dub+3SgObvSubj+0SgObj']"
wanitoosiinigwen,"['wanitoon+VTI+Cnj+Neg+Dub+3PlObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+3SgObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+3PlObvSubj+0SgObj', 'wanitoon+VTI+Cnj+Neg+Dub+3SgObvSubj+0SgObj']"
waabandanziiwaagwen,"['waabandan+VTI+Cnj+Neg+Dub+3PlProxSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+3PlProxSubj+0SgObj']"
miijisiiwaagwen,"['miijin+VTI+Cnj+Neg+Dub+3PlProxSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+3PlProxSubj+0SgObj']"
wanitoosiiwaagwen,"['wanitoon+VTI+Cnj+Neg+Dub+3PlProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+3PlProxSubj+0SgObj']"
waabandanziigwen,"['waabandan+VTI+Cnj+Neg+Dub+3SgProxSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+3SgProxSubj+0SgObj']"
miijisiigwen,"['miijin+VTI+Cnj+Neg+Dub+3SgProxSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+3SgProxSubj+0SgObj']"
wanitoosiigwen,"['wanitoon+VTI+Cnj+Neg+Dub+3SgProxSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+3SgProxSubj+0SgObj']"
waabandanziiwaangen,"['waabandan+VTI+Cnj+Neg+Dub+ExclSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+ExclSubj+0SgObj']"
miijisiiwaangen,"['miijin+VTI+Cnj+Neg+Dub+ExclSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+ExclSubj+0SgObj']"
wanitoosiiwaangen,"['wanitoon+VTI+Cnj+Neg+Dub+ExclSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+ExclSubj+0SgObj']"
waabandanziiwangen,"['waabandan+VTI+Cnj+Neg+Dub+InclSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+InclSubj+0SgObj']"
miijisiiwangen,"['miijin+VTI+Cnj+Neg+Dub+InclSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+InclSubj+0SgObj']"
wanitoosiiwangen,"['wanitoon+VTI+Cnj+Neg+Dub+InclSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+InclSubj+0SgObj']"
waabandanziiwiingen,"['waabandan+VTI+Cnj+Neg+Dub+XSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Dub+XSubj+0SgObj']"
miijisiiwiingen,"['miijin+VTI+Cnj+Neg+Dub+XSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Dub+XSubj+0SgObj']"
wanitoosiiwiingen,"['wanitoon+VTI+Cnj+Neg+Dub+XSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Dub+XSubj+0SgObj']"
waabandamowaanen,"['waabandan+VTI+Cnj+Pos+Dub+1SgSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+1SgSubj+0SgObj']"
miijiwaanen,"['miijin+VTI+Cnj+Pos+Dub+1SgSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+1SgSubj+0SgObj']"
wanitoowaanen,"['wanitoon+VTI+Cnj+Pos+Dub+1SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+1SgSubj+0SgObj']"
waabandamowegwen,"['waabandan+VTI+Cnj+Pos+Dub+2PlSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+2PlSubj+0SgObj']"
miijiwegwen,"['miijin+VTI+Cnj+Pos+Dub+2PlSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+2PlSubj+0SgObj']"
wanitoowegwen,"['wanitoon+VTI+Cnj+Pos+Dub+2PlSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+2PlSubj+0SgObj']"
waabandamowanen,"['waabandan+VTI+Cnj+Pos+Dub+2SgSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+2SgSubj+0SgObj']"
miijiwanen,"['miijin+VTI+Cnj+Pos+Dub+2SgSubj+0SgObj', 'miijin+VTI+Cnj+Pos+Dub+2SgSubj+0PlObj']"
wanitoowanen,"['wanitoon+VTI+Cnj+Pos+Dub+2SgSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+2SgSubj+0SgObj']"
waabandaminigwen,"['waabandan+VTI+Cnj+Pos+Dub+3PlObvSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+3SgObvSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+3PlObvSubj+0SgObj', 'waabandan+VTI+Cnj+Pos+Dub+3SgObvSubj+0SgObj']"
miijinigwen,"['miijin+VTI+Cnj+Pos+Dub+3PlObvSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+3SgObvSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+3PlObvSubj+0SgObj', 'miijin+VTI+Cnj+Pos+Dub+3SgObvSubj+0SgObj']"
wanitoonigwen,"['wanitoon+VTI+Cnj+Pos+Dub+3PlObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+3SgObvSubj+0PlObj', 'wanitoon+VTI+Cnj+Pos+Dub+3PlObvSubj+0SgObj', 'wanitoon+VTI+Cnj+Pos+Dub+3SgObvSubj+0SgObj']"
waabandamowaagwen,"['waabandan+VTI+Cnj+Pos+Dub+3PlProxSubj+0PlObj', 'waabandan+VTI+Cnj+Pos+Dub+3PlProxSubj+0SgObj']"
miijiwaagwen,"['miijin+VTI+Cnj+Pos+Dub+3PlProxSubj+0PlObj', 'miijin+VTI+Cnj+Pos+Dub+3PlProxSubj+0SgObj']"
