wordform,fst_analyses
miijiikan,"['miijin+VTI+Imp+Del+2SgSubj+0SgObj', 'miijin+VTI+Imp+Del+2SgSubj+0PlObj']"
miijiikeg,"['miijin+VTI+Imp+Del+2PlSubj+0SgObj', 'miijin+VTI+Imp+Del+2PlSubj+0PlObj']"
miijiikang,"['miijin+VTI+Imp+Del+InclSubj+0PlObj', 'miijin+VTI+Imp+Del+InclSubj+0SgObj']"
miijiken,"['miijin+VTI+Imp+Prb+2SgSubj+0SgObj', 'miijin+VTI+Imp+Prb+2SgSubj+0PlObj']"
miijikegon,"['miijin+VTI+Imp+Prb+2PlSubj+0PlObj', 'miijin+VTI+Imp+Prb+2PlSubj+0SgObj']"
miijin,"['miijin+VTI+Imp+Sim+2SgSubj+0SgObj', 'miijin+VTI+Imp+Sim+2SgSubj+0PlObj']"
miijig,"['miijin+VTI+Imp+Sim+2PlSubj+0SgObj', 'miijin+VTI+Imp+Sim+2PlSubj+0PlObj']"
waabandamookan,"['waabandan+VTI+Imp+Del+2SgSubj+0PlObj', 'waabandan+VTI+Imp+Del+2SgSubj+0SgObj']"
waabandamookeg,"['waabandan+VTI+Imp+Del+2PlSubj+0PlObj', 'waabandan+VTI+Imp+Del+2PlSubj+0SgObj']"
waabandamookang,"['waabandan+VTI+Imp+Del+InclSubj+0PlObj', 'waabandan+VTI+Imp+Del+InclSubj+0SgObj']"
waabandangen,"['waabandan+VTI+Imp+Prb+2SgSubj+0PlObj', 'waabandan+VTI+Imp+Prb+2SgSubj+0SgObj']"
waabandangegon,"['waabandan+VTI+Imp+Prb+2PlSubj+0PlObj', 'waabandan+VTI+Imp+Prb+2PlSubj+0SgObj']"
waabandan,"['waabandan+VTI+Imp+Sim+2SgSubj+0SgObj', 'waabandan+VTI+Imp+Sim+2SgSubj+0PlObj']"
waabandamog,"['waabandan+VTI+Imp+Sim+2PlSubj+0SgObj', 'waabandan+VTI+Imp+Sim+2PlSubj+0PlObj']"
wanitookan,"['wanitoon+VTI+Imp+Del+2SgSubj+0PlObj', 'wanitoon+VTI+Imp+Del+2SgSubj+0SgObj']"
wanitookeg,"['wanitoon+VTI+Imp+Del+2PlSubj+0PlObj', 'wanitoon+VTI+Imp+Del+2PlSubj+0SgObj']"
wanitookang,"['wanitoon+VTI+Imp+Del+InclSubj+0PlObj', 'wanitoon+VTI+Imp+Del+InclSubj+0SgObj']"
wanitooken,"['wanitoon+VTI+Imp+Prb+2SgSubj+0PlObj', 'wanitoon+VTI+Imp+Prb+2SgSubj+0SgObj']"
wanitookegon,"['wanitoon+VTI+Imp+Prb+2PlSubj+0PlObj', 'wanitoon+VTI+Imp+Prb+2PlSubj+0SgObj']"
wanitoon,"['wanitoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'wanitoon+VTI+Imp+Sim+2SgSubj+0PlObj']"
wanitoog,"['wanitoon+VTI+Imp+Sim+2PlSubj+0SgObj', 'wanitoon+VTI+Imp+Sim+2PlSubj+0PlObj']"
