wordform,fst_analyses
odayaasiininaadogenan,"['ayaan+VTI+Ind+Neg+Dub+3PlObvSubj+0PlObj', 'ayaan+VTI+Ind+Neg+Dub+3SgObvSubj+0PlObj']"
owaabandanziininaadogenan,"['waabandan+VTI+Ind+Neg+Dub+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Dub+3SgObvSubj+0PlObj']"
omiijisiininaadogenan,"['miijin+VTI+Ind+Neg+Dub+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Neg+Dub+3SgObvSubj+0PlObj']"
owanitoosiininaadogenan,"['wanitoon+VTI+Ind+Neg+Dub+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Dub+3SgObvSubj+0PlObj']"
nidayaasiinaadog,"['ayaa+VAI+Ind+Neg+Dub+1SgSubj', 'ayaan+VTI+Ind+Neg+Dub+1SgSubj+0SgObj']"
gidayaasiinaadog,"['ayaa+VAI+Ind+Neg+Dub+2SgSubj', 'ayaan+VTI+Ind+Neg+Dub+2SgSubj+0SgObj']"
odayaasiininaadog,"['ayaan+VTI+Ind+Neg+Dub+3PlObvSubj+0SgObj', 'ayaan+VTI+Ind+Neg+Dub+3SgObvSubj+0SgObj']"
owaabandanziininaadog,"['waabandan+VTI+Ind+Neg+Dub+3PlObvSubj+0SgObj', 'waabandan+VTI+Ind+Neg+Dub+3SgObvSubj+0SgObj']"
omiijisiininaadog,"['miijin+VTI+Ind+Neg+Dub+3PlObvSubj+0SgObj', 'miijin+VTI+Ind+Neg+Dub+3SgObvSubj+0SgObj']"
owanitoosiininaadog,"['wanitoon+VTI+Ind+Neg+Dub+3PlObvSubj+0SgObj', 'wanitoon+VTI+Ind+Neg+Dub+3SgObvSubj+0SgObj']"
nidayaasiiminaadog,"['ayaa+VAI+Ind+Neg+Dub+ExclSubj', 'ayaan+VTI+Ind+Neg+Dub+ExclSubj+0SgObj']"
gidayaasiiminaadog,"['ayaa+VAI+Ind+Neg+Dub+InclSubj', 'ayaan+VTI+Ind+Neg+Dub+InclSubj+0SgObj']"
gimiijinaawaadogenan,"['miijin+VTI+Ind+Pos+Dub+2PlSubj+0PlObj', 'miijizh+VTA+Ind+Pos+Dub+2PlSubj+3SgObvObj']"
odayaaninaadogenan,"['ayaan+VTI+Ind+Pos+Dub+3PlObvSubj+0PlObj', 'ayaan+VTI+Ind+Pos+Dub+3SgObvSubj+0PlObj']"
owaabandaminaadogenan,"['waabandan+VTI+Ind+Pos+Dub+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Pos+Dub+3SgObvSubj+0PlObj']"
omiijininaadogenan,"['miijin+VTI+Ind+Pos+Dub+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Pos+Dub+3SgObvSubj+0PlObj']"
owanitooninaadogenan,"['wanitoon+VTI+Ind+Pos+Dub+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Pos+Dub+3SgObvSubj+0PlObj']"
omiijinaawaadogenan,"['miijin+VTI+Ind+Pos+Dub+3PlProxSubj+0PlObj', 'miijizh+VTA+Ind+Pos+Dub+3PlProxSubj+3SgObvObj', 'miijizh+VTA+Ind+Pos+Dub+3PlProxSubj+3PlObvObj']"
omiijinaadogenan,"['miijin+VTI+Ind+Pos+Dub+3SgProxSubj+0PlObj', 'miijizh+VTA+Ind+Pos+Dub+3SgProxSubj+3SgObvObj', 'miijizh+VTA+Ind+Pos+Dub+3SgProxSubj+3PlObvObj']"
nidayaanaadog,"['ayaa+VAI+Ind+Pos+Dub+1SgSubj', 'ayaan+VTI+Ind+Pos+Dub+1SgSubj+0SgObj']"
nimiijinaadog,"['miijizh+VTA+Ind+Pos+Dub+1SgSubj+3SgProxObj', 'miijin+VTI+Ind+Pos+Dub+1SgSubj+0SgObj']"
gimiijinaawaadog,"['miijin+VTI+Ind+Pos+Dub+2PlSubj+0SgObj', 'miijizh+VTA+Ind+Pos+Dub+2PlSubj+3SgProxObj']"
gidayaanaadog,"['ayaa+VAI+Ind+Pos+Dub+2SgSubj', 'ayaan+VTI+Ind+Pos+Dub+2SgSubj+0SgObj']"
gimiijinaadog,"['miijizh+VTA+Ind+Pos+Dub+2SgSubj+3SgProxObj', 'miijin+VTI+Ind+Pos+Dub+2SgSubj+0SgObj']"
odayaaninaadog,"['ayaan+VTI+Ind+Pos+Dub+3PlObvSubj+0SgObj', 'ayaan+VTI+Ind+Pos+Dub+3SgObvSubj+0SgObj']"
owaabandaminaadog,"['waabandan+VTI+Ind+Pos+Dub+3PlObvSubj+0SgObj', 'waabandan+VTI+Ind+Pos+Dub+3SgObvSubj+0SgObj']"
omiijininaadog,"['miijin+VTI+Ind+Pos+Dub+3PlObvSubj+0SgObj', 'miijin+VTI+Ind+Pos+Dub+3SgObvSubj+0SgObj']"
owanitooninaadog,"['wanitoon+VTI+Ind+Pos+Dub+3PlObvSubj+0SgObj', 'wanitoon+VTI+Ind+Pos+Dub+3SgObvSubj+0SgObj']"
nidayaaminaadog,"['ayaa+VAI+Ind+Pos+Dub+ExclSubj', 'ayaan+VTI+Ind+Pos+Dub+ExclSubj+0SgObj']"
gidayaaminaadog,"['ayaa+VAI+Ind+Pos+Dub+InclSubj', 'ayaan+VTI+Ind+Pos+Dub+InclSubj+0SgObj']"
niwanitoosiinan,"['wanitoon+VTI+Ind+Neg+Neu+1SgSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+1SgSubj+0SgObj']"
giwanitoosiinaawaan,"['wanitoon+VTI+Ind+Neg+Neu+2PlSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+2PlSubj+0SgObj']"
giwanitoosiinan,"['wanitoon+VTI+Ind+Neg+Neu+2SgSubj+0PlObj', 'wanitoon+VTI+Ind+Neg+Neu+2SgSubj+0SgObj']"
owaabandanziinan,"['waabandan+VTI+Ind+Neg+Neu+3SgProxSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Neu+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Neg+Neu+3SgObvSubj+0PlObj']"
omiijisiinan,"['miijin+VTI+Ind+Neg+Neu+3SgProxSubj+0PlObj', 'miijin+VTI+Ind+Neg+Neu+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Neg+Neu+3SgObvSubj+0PlObj']"
